,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,long_form,ict_form,total_points,Predicted,Prediction_Error,player_id,name
275,32,6,19,2.625,0.75,1.0625,2.25,6.0,5.0,3.8,9.866666666666662,7,4.7,2.3,16,Özil
295,32,6,19,2.625,0.75,1.0625,2.25,2.0,8.333333333333334,5.6,10.466666666666667,3,10.6,-7.6,18,Ramsey
327,32,3,17,2.3125,1.1875,1.5625,1.5625,1.0,1.0,3.0,3.233333333333332,1,1.6,-0.6000000000000001,19,Oxlade-Chamberlain
367,32,6,19,2.625,0.75,1.0625,2.25,3.0,2.333333333333333,1.8,2.766666666666667,2,3.0,-1.0,22,Elneny
400,32,6,19,2.625,0.75,1.0625,2.25,2.0,2.333333333333333,2.2,4.466666666666667,1,3.2,-2.2,23,Xhaka
420,32,6,19,2.625,0.75,1.0625,2.25,1.0,1.6666666666666667,1.6,3.1000000000000014,3,2.9,0.10000000000000009,24,Wilshere
715,32,10,11,1.0,1.5,1.5625,1.75,1.0,1.0,1.0,0.6666666666666675,1,1.4,-0.3999999999999999,40,Pugh
735,32,10,11,1.0,1.5,1.5625,1.75,1.0,1.3333333333333333,2.2,0.8666666666666664,1,1.8,-0.8,41,Surman
756,32,10,11,1.0,1.5,1.5625,1.75,10.0,6.0,4.4,10.333333333333336,1,3.6,-2.6,42,Stanislas
778,32,10,11,1.0,1.5,1.5625,1.75,2.0,1.6666666666666667,3.0,4.16666666666667,2,1.5,0.5,43,Gosling
808,32,10,11,1.0,1.5,1.5625,1.75,10.0,4.333333333333333,3.8,6.066666666666664,2,1.8,0.19999999999999996,45,Ibe
833,32,10,11,1.0,1.5,1.5625,1.75,2.0,2.0,2.6,2.9000000000000004,2,2.1,-0.10000000000000009,46,Cook
855,32,10,11,1.0,1.5,1.5625,1.75,2.0,3.0,2.8,6.433333333333333,2,3.1,-1.1,47,Fraser
1183,32,13,8,1.3125,1.625,1.4375,1.625,2.0,1.3333333333333333,1.2,0.8666666666666666,1,1.4,-0.3999999999999999,64,Kayal
1214,32,13,8,1.3125,1.625,1.4375,1.625,1.0,1.0,1.2,0.8333333333333313,1,1.3,-0.30000000000000004,66,March
1251,32,13,8,1.3125,1.625,1.4375,1.625,2.0,3.333333333333333,3.4,8.066666666666674,2,3.3,-1.2999999999999998,70,Groß
1527,32,7,20,1.0625,1.0625,0.9375,1.625,3.0,1.6666666666666667,2.2,1.0666666666666669,1,1.8,-0.8,86,Hendrick
1556,32,7,20,1.0625,1.0625,0.9375,1.625,2.0,1.6666666666666667,1.8,1.7666666666666675,2,2.1,-0.10000000000000009,88,Westwood
1592,32,7,20,1.0625,1.0625,0.9375,1.625,3.0,2.0,2.0,2.2666666666666684,1,2.1,-1.1,90,Cork
1910,32,5,4,1.6875,1.9375,0.875,1.0625,3.0,2.333333333333333,5.8,7.866666666666664,2,1.3,0.7,104,Hazard
1939,32,5,4,1.6875,1.9375,0.875,1.0625,3.0,2.333333333333333,2.2,4.966666666666668,2,1.8,0.19999999999999996,105,Fàbregas
1971,32,5,4,1.6875,1.9375,0.875,1.0625,10.0,4.666666666666667,4.8,7.599999999999999,2,1.9,0.10000000000000009,106,Borges Da Silva
2004,32,2,15,2.1875,0.625,0.4375,1.5625,2.0,4.666666666666667,3.4,5.866666666666667,3,5.8,-2.8,107,Matic
2024,32,17,3,1.1875,2.3125,1.5625,1.5625,1.0,1.3333333333333333,3.4,1.8000000000000027,1,1.3,-0.30000000000000004,108,Loftus-Cheek
2059,32,12,16,1.0,0.625,0.9375,1.9375,16.0,8.0,6.0,7.400000000000001,6,4.5,1.5,110,Nunes do Nascimento
