,round,team_rank,opponent_team_rank,opp_pot,concede_pot,prev_points,form_points,save_form,ict_form,total_points,Predicted,Prediction_Error,player_id,name
998,32,13,8,1.625,1.4375,7.0,4.0,3.333333333333333,3.600000000000001,1,2.1,1.1,54,Ryan
1711,32,5,4,1.9375,0.875,7.0,0.0,0.0,0.0,2,-0.9,2.9,96,Caballero
2128,32,17,3,2.3125,1.5625,6.0,3.6666666666666665,4.333333333333333,2.5,2,2.0,0.0,115,Hennessey
2495,32,9,1,2.3125,1.3125,3.0,3.6666666666666665,2.6666666666666665,1.6666666666666672,1,3.4,2.4,135,Pickford
2899,32,16,12,1.0,1.9375,2.0,3.333333333333333,1.6666666666666667,1.3666666666666665,2,4.4,2.4000000000000004,163,Lössl
3316,32,8,13,1.3125,1.625,2.0,6.0,2.0,1.9000000000000008,15,6.9,8.1,189,Schmeichel
3749,32,3,17,1.1875,1.5625,6.0,2.6666666666666665,1.0,0.7333333333333325,1,2.4,1.4,214,Karius
4180,32,1,9,1.625,0.6875,7.0,5.0,0.6666666666666666,0.8333333333333334,2,4.5,2.5,240,Santana de Moraes
4570,32,2,15,0.625,0.4375,2.0,3.0,2.0,1.699999999999999,6,4.6,1.4000000000000004,260,de Gea
5305,32,18,14,1.2666666666666666,1.7333333333333334,1.0,3.0,2.333333333333333,1.6999999999999995,1,4.3,3.3,305,McCarthy
5740,32,19,6,2.625,2.25,3.0,2.6666666666666665,6.0,4.099999999999999,3,1.0,2.0,328,Butland
6087,32,15,2,2.1875,1.5625,9.0,4.333333333333333,2.6666666666666665,2.0999999999999983,2,1.9,0.10000000000000009,350,Fabianski
6511,32,4,5,1.6875,1.0625,2.0,4.0,2.6666666666666665,2.000000000000001,3,4.4,1.4000000000000004,375,Lloris
7284,32,20,7,1.0625,1.625,2.0,1.3333333333333333,2.6666666666666665,2.0,1,2.1,1.1,421,Foster
8062,32,7,20,1.0625,0.9375,9.0,4.333333333333333,3.0,2.5000000000000018,1,2.9,1.9,469,Pope
8208,32,14,18,0.8666666666666667,1.3333333333333333,1.0,4.0,0.6666666666666666,0.8666666666666668,6,6.1,0.09999999999999964,479,Hart
8833,32,11,10,1.0,1.75,1.0,1.6666666666666667,4.333333333333333,2.966666666666667,2,2.2,0.20000000000000018,536,Karnezis
9108,32,12,16,0.625,0.9375,6.0,4.333333333333333,1.0,0.9333333333333336,6,4.9,1.0999999999999996,621,Dubravka
32,32,6,18,0.9375,1.1176470588235294,15.0,6.333333333333332,4.333333333333333,3.533333333333335,2,2.3,0.2999999999999998,2,Cech
