,round,team_rank,opponent_team_rank,opp_pot,concede_pot,prev_points,form_points,ict_form,total_points,Predicted,Prediction_Error,player_id,name
146,32,6,19,0.75,1.0625,2.0,3.0,4.166666666666663,6,4.1,1.9000000000000004,10,Monreal
179,32,6,19,0.75,1.0625,12.0,7.0,5.866666666666666,8,4.8,3.2,12,Mustafi
588,32,10,11,1.5,1.5625,2.0,1.0,4.300000000000002,1,0.6,0.4,33,Cook
619,32,10,11,1.5,1.5625,5.0,2.333333333333333,3.8,1,1.1,0.10000000000000009,34,Daniels
682,32,10,11,1.5,1.5625,2.0,2.0,3.2333333333333365,4,2.0,2.0,38,Aké
1031,32,13,8,1.625,1.4375,1.0,3.333333333333333,5.599999999999995,1,3.3,2.3,55,Dunk
1063,32,13,8,1.625,1.4375,1.0,2.6666666666666665,4.100000000000001,1,2.8,1.7999999999999998,56,Duffy
1105,32,13,8,1.625,1.4375,-1.0,0.3333333333333333,2.1666666666666665,0,1.1,1.1,59,Bong
1325,32,7,20,1.0625,0.9375,6.0,5.0,5.899999999999998,2,4.5,2.5,76,Lowton
1356,32,7,20,1.0625,0.9375,6.0,3.333333333333333,4.566666666666666,2,2.7,0.7000000000000002,77,Mee
1377,32,7,20,1.0625,0.9375,6.0,3.333333333333333,2.733333333333332,2,3.1,1.1,78,Ward
1403,32,7,20,1.0625,0.9375,7.0,3.6666666666666665,2.7,2,3.1,1.1,79,Tarkowski
1741,32,5,4,1.9375,0.875,3.0,2.0,4.333333333333333,1,1.0,0.0,97,Azpilicueta
1824,32,5,4,1.9375,0.875,2.0,1.6666666666666667,4.266666666666665,1,1.0,0.0,100,Alonso
1858,32,5,4,1.9375,0.875,2.0,2.333333333333333,3.933333333333335,4,1.9,2.1,102,Moses
1882,32,5,4,1.9375,0.875,1.0,1.0,1.9,1,1.1,0.10000000000000009,103,Rüdiger
2212,32,17,3,2.3125,1.5625,-1.0,0.3333333333333333,2.1,1,0.4,0.6,120,Kelly
2258,32,17,3,2.3125,1.5625,7.0,4.666666666666667,4.4,1,2.1,1.1,124,van Aanholt
2513,32,9,1,2.3125,1.3125,2.0,5.0,4.733333333333333,1,4.4,3.4000000000000004,138,Baines
2521,32,9,1,2.3125,1.3125,2.0,3.0,1.8333333333333333,1,2.6,1.6,139,Coleman
2542,32,9,1,2.3125,1.3125,1.0,2.6666666666666665,2.9000000000000004,1,2.4,1.4,140,Jagielka
2627,32,9,1,2.3125,1.3125,2.0,3.0,1.7999999999999978,1,2.6,1.6,146,Keane
2932,32,16,12,1.0,1.9375,0.0,2.6666666666666665,2.766666666666668,1,3.9,2.9,164,Schindler
2976,32,16,12,1.0,1.9375,1.0,1.0,2.4333333333333336,2,1.5,0.5,166,Smith
3013,32,16,12,1.0,1.9375,1.0,3.333333333333333,2.6666666666666665,2,4.3,2.3,171,Jorgensen
3345,32,8,13,1.3125,1.625,2.0,3.0,1.7000000000000004,5,3.8,1.2000000000000002,191,Morgan
3369,32,8,13,1.3125,1.625,3.0,1.3333333333333333,1.9000000000000008,1,1.3,0.30000000000000004,192,Fuchs
3393,32,8,13,1.3125,1.625,1.0,2.6666666666666665,1.933333333333336,5,3.7,1.2999999999999998,193,Simpson
3415,32,8,13,1.3125,1.625,5.0,6.0,6.333333333333335,11,5.3,5.7,196,Chilwell
3454,32,8,13,1.3125,1.625,2.0,3.0,5.799999999999998,5,2.9,2.1,198,Maguire
3775,32,3,17,1.1875,1.5625,1.0,3.0,5.933333333333334,1,3.6,2.6,215,Lovren
3837,32,3,17,1.1875,1.5625,6.0,3.0,1.2999999999999998,2,2.7,0.7000000000000002,219,Matip
3867,32,17,3,2.3125,1.5625,7.0,3.0,1.9000000000000008,1,0.6,0.4,221,Sakho
3896,32,3,17,1.1875,1.5625,6.0,4.333333333333333,6.700000000000004,6,3.2,2.8,222,Milner
3912,32,3,17,1.1875,1.5625,1.0,4.0,3.1666666666666674,2,5.4,3.4000000000000004,223,Alexander-Arnold
4212,32,1,9,1.625,0.6875,6.0,4.666666666666667,2.5,2,4.0,2.0,244,Kompany
4244,32,1,9,1.625,0.6875,8.0,5.333333333333333,3.866666666666661,2,3.8,1.7999999999999998,245,Otamendi
4595,32,2,15,0.625,0.4375,2.0,5.333333333333333,4.833333333333334,6,6.9,0.9000000000000004,263,Smalling
4659,32,2,15,0.625,0.4375,1.0,4.0,4.533333333333333,7,5.7,1.2999999999999998,267,Valencia
4687,32,17,3,2.3125,1.5625,2.0,1.3333333333333333,1.3333333333333333,1,0.6,0.4,269,Fosu-Mensah
4717,32,2,15,0.625,0.4375,1.0,3.0,2.133333333333334,6,5.0,1.0,273,Lindelöf
5032,32,12,16,0.625,0.9375,6.0,5.333333333333333,3.0,9,5.5,3.5,288,Yedlin
5080,32,12,16,0.625,0.9375,7.0,4.333333333333333,2.7333333333333343,5,4.0,1.0,290,Lascelles
5095,32,12,16,0.625,0.9375,6.0,4.333333333333333,2.3000000000000007,6,4.5,1.5,291,Dummett
5116,32,12,16,0.625,0.9375,6.0,5.333333333333333,2.9666666666666663,9,5.5,3.5,294,Lejeune
5355,32,18,14,1.2666666666666666,1.7333333333333334,1.0,2.6666666666666665,3.866666666666666,1,3.2,2.2,307,Bertrand
5404,32,18,14,1.2666666666666666,1.7333333333333334,1.0,2.6666666666666665,4.800000000000002,1,3.0,2.0,310,Soares
5426,32,3,17,1.1875,1.5625,6.0,3.0,3.2,2,2.3,0.2999999999999998,311,van Dijk
5449,32,18,14,1.2666666666666666,1.7333333333333334,0.0,2.0,1.9666666666666648,0,3.2,3.2,313,Stephens
5765,32,19,6,2.625,2.25,0.0,1.0,2.066666666666668,1,0.5,0.5,330,Shawcross
5810,32,19,6,2.625,2.25,6.0,4.0,3.4333333333333336,1,1.6,0.6000000000000001,332,Pieters
5830,32,19,6,2.625,2.25,1.0,0.6666666666666666,3.1,0,-0.5,0.5,335,Johnson
6118,32,15,2,2.1875,1.5625,7.0,3.333333333333333,2.1666666666666683,1,1.0,0.0,352,Naughton
6148,32,15,2,2.1875,1.5625,6.0,3.0,4.100000000000001,1,0.6,0.4,354,Fernández
6169,32,15,2,2.1875,1.5625,6.0,5.666666666666668,5.366666666666667,1,3.6,2.6,356,van der Hoorn
6201,32,15,2,2.1875,1.5625,5.0,2.6666666666666665,2.4999999999999987,1,0.9,0.09999999999999998,357,Mawson
6232,32,15,2,2.1875,1.5625,5.0,2.6666666666666665,1.6666666666666667,1,1.1,0.10000000000000009,358,Olsson
6560,32,1,9,1.625,0.6875,6.0,4.666666666666667,2.7333333333333303,2,4.0,2.0,379,Walker
6590,32,4,5,1.6875,1.0625,2.0,4.0,3.200000000000003,2,4.3,2.3,380,Vertonghen
6616,32,4,5,1.6875,1.0625,6.0,5.666666666666668,5.100000000000001,4,4.4,0.40000000000000036,381,Davies
6637,32,4,5,1.6875,1.0625,4.0,4.0,2.666666666666663,2,3.6,1.6,382,Trippier
6946,32,11,10,1.0,1.75,1.0,0.0,0.0,1,0.8,0.19999999999999996,399,Cathcart
