,round,team_rank,opponent_team_rank,opp_pot,concede_pot,prev_points,form_points,ict_form,total_points,Predicted,Prediction_Error,player_id,name
587,31,10,20,0.5,1.625,0.0,1.3333333333333333,4.166666666666669,2,2.8,0.7999999999999998,33,Cook
618,31,10,20,0.5,1.625,1.0,2.6666666666666665,3.899999999999999,5,4.1,0.9000000000000004,34,Daniels
648,31,10,20,0.5,1.625,3.0,1.6666666666666667,3.733333333333333,0,2.2,2.2,35,Smith
681,31,10,20,0.5,1.625,0.0,1.3333333333333333,2.5000000000000027,2,3.2,1.2000000000000002,38,Aké
1794,31,19,9,0.75,1.5625,1.0,3.0,2.0333333333333314,1,4.2,3.2,99,Zouma
2163,31,16,15,0.9375,1.5625,0.0,5.333333333333333,6.2,15,6.7,8.3,117,Tomkins
2236,31,16,15,0.9375,1.5625,1.0,2.0,1.8666666666666683,1,3.2,2.2,123,Schlupp
2257,31,16,15,0.9375,1.5625,6.0,6.666666666666668,5.833333333333332,7,6.1,0.9000000000000004,124,van Aanholt
2512,31,9,19,1.0625,2.0,12.0,5.0,3.600000000000001,2,2.3,0.2999999999999998,138,Baines
2520,31,9,19,1.0625,2.0,6.0,4.0,3.8333333333333335,2,3.4,1.4,139,Coleman
2541,31,9,19,1.0625,2.0,6.0,3.0,2.433333333333334,1,2.4,1.4,140,Jagielka
2584,31,9,19,1.0625,2.0,1.0,1.3333333333333333,0.8666666666666644,1,2.6,1.6,144,Holgate
2626,31,9,19,1.0625,2.0,6.0,3.0,2.5999999999999983,2,2.4,0.3999999999999999,146,Keane
2931,31,15,16,0.75,1.375,7.0,2.6666666666666665,2.633333333333335,0,1.8,1.8,164,Schindler
2954,31,15,16,0.75,1.375,1.0,1.0,2.799999999999999,1,2.0,1.0,165,Löwe
3012,31,15,16,0.75,1.375,7.0,3.0,2.8333333333333326,1,2.1,1.1,171,Jorgensen
3812,31,3,11,1.0625,0.625,6.0,4.333333333333333,3.033333333333333,5,4.0,1.0,218,Gomez
3836,31,3,11,1.0625,0.625,1.0,3.0,1.5333333333333332,6,4.6,1.4000000000000004,219,Matip
3866,31,16,15,0.9375,1.5625,1.0,3.0,2.5000000000000013,7,4.2,2.8,221,Sakho
3895,31,3,11,1.0625,0.625,1.0,2.6666666666666665,3.3666666666666707,6,3.8,2.2,222,Milner
5425,31,3,11,1.0625,0.625,1.0,4.333333333333333,3.1666666666666665,6,5.9,0.09999999999999964,311,van Dijk
5764,31,19,9,0.75,1.5625,2.0,1.0,2.0000000000000013,0,1.4,1.4,330,Shawcross
5829,31,19,9,0.75,1.5625,1.0,0.6666666666666666,3.866666666666666,1,0.9,0.09999999999999998,335,Johnson
6965,31,11,3,2.375,1.8125,1.0,2.333333333333333,1.3999999999999997,0,2.2,2.2,400,Prödl
6990,31,11,3,2.375,1.8125,0.0,2.6666666666666665,4.533333333333332,0,2.3,2.3,401,Holebas
7004,31,11,3,2.375,1.8125,1.0,0.6666666666666666,0.9666666666666672,0,0.2,0.2,402,Britos
7046,31,11,3,2.375,1.8125,1.0,2.6666666666666665,2.43333333333333,1,2.4,1.4,404,Janmaat
7070,31,11,3,2.375,1.8125,1.0,2.0,2.2666666666666666,0,1.6,1.6,405,Mariappa
7091,31,11,3,2.375,1.8125,1.0,0.6666666666666666,3.0333333333333337,0,-0.2,0.2,407,Femenía Far
7308,31,20,10,1.4375,1.5625,0.0,0.6666666666666666,2.599999999999999,1,1.2,0.19999999999999996,422,Nyom
7336,31,20,10,1.4375,1.5625,2.0,2.6666666666666665,2.2666666666666675,6,2.9,3.1,423,Evans
7358,31,20,10,1.4375,1.5625,0.0,0.6666666666666666,3.3000000000000016,0,1.0,1.0,424,Dawson
7949,31,15,16,0.75,1.375,6.0,2.6666666666666665,3.066666666666668,1,2.0,1.0,462,Malone
8031,31,20,10,1.4375,1.5625,0.0,1.0,3.2,1,1.4,0.3999999999999999,468,Hegazi
8150,31,3,11,1.0625,0.625,1.0,6.0,4.499999999999997,11,7.6,3.4000000000000004,475,Robertson
8696,31,15,16,0.75,1.375,8.0,3.333333333333333,6.433333333333331,1,1.4,0.3999999999999999,521,Hadergjonaj
9039,31,19,9,0.75,1.5625,1.0,1.0,2.4666666666666663,1,1.6,0.6000000000000001,599,Stafylidis
92,31,6,19,0.75,1.0625,1.0,2.6666666666666665,2.766666666666668,6,4.3,1.7000000000000002,7,Bellerín
