,round,team_rank,opponent_team_rank,opp_pot,concede_pot,prev_points,form_points,ict_form,total_points,Predicted,Prediction_Error,player_id,name
5785,30,19,1,2.2666666666666666,1.5333333333333334,5.0,2.6666666666666665,2.4666666666666663,1,0.8,0.19999999999999996,331,Cameron
6117,30,14,15,1.0,1.5333333333333334,2.0,3.0,2.133333333333335,7,3.9,3.1,352,Naughton
6147,30,14,15,1.0,1.5333333333333334,2.0,2.6666666666666665,3.9333333333333336,6,3.1,2.9,354,Fernández
6168,30,14,15,1.0,1.5333333333333334,10.0,5.666666666666668,4.4,6,3.6,2.4,356,van der Hoorn
6200,30,14,15,1.0,1.5333333333333334,2.0,2.333333333333333,3.1666666666666656,5,2.9,2.1,357,Mawson
6231,30,14,15,1.0,1.5333333333333334,2.0,2.333333333333333,1.8666666666666665,5,3.2,1.7999999999999998,358,Olsson
6530,30,3,12,1.4,1.0666666666666669,1.0,1.0,2.7,1,1.6,0.6000000000000001,378,Rose
6559,30,1,19,1.0666666666666669,0.6666666666666666,6.0,7.333333333333332,3.199999999999997,6,7.9,1.9000000000000004,379,Walker
6589,30,3,12,1.4,1.0666666666666669,8.0,6.0,3.7000000000000015,2,4.8,2.8,380,Vertonghen
6636,30,3,12,1.4,1.0666666666666669,6.0,3.6666666666666665,3.0666666666666638,4,2.9,1.1,382,Trippier
6964,30,10,6,2.6,1.6,6.0,4.333333333333333,1.4,1,2.7,1.7000000000000002,400,Prödl
6989,30,10,6,2.6,1.6,8.0,5.0,5.599999999999999,0,1.9,1.9,401,Holebas
7003,30,10,6,2.6,1.6,1.0,1.0,0.4666666666666671,1,0.8,0.19999999999999996,402,Britos
7045,30,10,6,2.6,1.6,6.0,4.0,3.7666666666666635,1,1.8,0.8,404,Janmaat
7069,30,10,6,2.6,1.6,5.0,4.666666666666667,2.3666666666666667,1,3.3,2.3,405,Mariappa
7090,30,10,6,2.6,1.6,1.0,0.6666666666666666,2.4333333333333336,1,-0.0,1.0,407,Femenía Far
7307,30,20,8,1.6,1.6,1.0,0.6666666666666666,1.866666666666666,0,0.7,0.7,422,Nyom
7357,30,20,8,1.6,1.6,2.0,3.0,5.333333333333335,0,2.4,2.4,424,Dawson
7625,30,16,7,1.0,1.4285714285714286,-1.0,3.0,3.4,1,4.4,3.4000000000000004,441,Collins
7669,30,16,7,1.0,1.4285714285714286,3.0,1.0,4.966666666666668,0,0.1,0.1,443,Cresswell
7694,30,16,7,1.0,1.4285714285714286,0.0,2.333333333333333,2.899999999999998,1,3.3,2.3,444,Ogbonna
7749,30,16,7,1.0,1.4285714285714286,0.0,0.3333333333333333,1.9,1,1.1,0.10000000000000009,447,Zabaleta
7931,30,11,9,1.6666666666666667,1.2666666666666666,0.0,0.6666666666666666,1.333333333333334,1,1.4,0.3999999999999999,461,Suttner
7948,30,15,14,0.6666666666666666,1.3333333333333333,1.0,2.6666666666666665,3.5333333333333345,6,3.8,2.2,462,Malone
8030,30,20,8,1.6,1.6,2.0,1.0,2.5333333333333323,0,0.6,0.6,468,Hegazi
8087,30,5,18,0.6666666666666666,0.7333333333333333,2.0,1.6666666666666667,2.0,2,3.0,1.0,470,Christensen
8149,30,4,2,2.2,1.6,6.0,4.333333333333333,5.833333333333331,1,2.0,1.0,475,Robertson
8215,30,6,10,1.1333333333333333,1.1333333333333333,1.0,1.3333333333333333,2.566666666666667,1,2.1,1.1,480,Chambers
8242,30,18,5,1.7333333333333334,1.6666666666666667,1.0,1.3333333333333333,1.3,1,1.4,0.3999999999999999,482,Riedewald
8576,30,19,1,2.2666666666666666,1.5333333333333334,6.0,3.0,1.8,1,0.9,0.09999999999999998,513,Martins Indi
8676,30,3,12,1.4,1.0666666666666669,6.0,5.333333333333333,2.7000000000000006,2,5.0,3.0,520,Sánchez
8695,30,15,14,0.6666666666666666,1.3333333333333333,1.0,3.0,6.933333333333331,8,3.5,4.5,521,Hadergjonaj
8742,30,17,13,1.0,1.6428571428571428,8.0,3.333333333333333,3.1666666666666674,0,1.7,1.7,525,Hoedt
8786,30,3,12,1.4,1.0666666666666669,7.0,8.666666666666666,7.5666666666666655,13,7.6,5.4,532,Aurier
8862,30,11,9,1.6666666666666667,1.2666666666666666,1.0,1.0,1.233333333333333,0,1.4,1.4,538,Schelotto
8915,30,5,18,0.6666666666666666,0.7333333333333333,6.0,2.6666666666666665,8.1,2,1.4,0.6000000000000001,543,Zappacosta
9029,30,19,1,2.2666666666666666,1.5333333333333334,6.0,3.0,1.7666666666666675,1,1.0,0.0,594,Bauer
9038,30,19,1,2.2666666666666666,1.5333333333333334,1.0,1.3333333333333333,2.4666666666666663,1,0.7,0.30000000000000004,599,Stafylidis
119,30,20,10,1.4375,1.5625,0.0,1.0,4.366666666666666,1,1.2,0.19999999999999996,8,Gibbs
