,round,team_rank,opponent_team_rank,opp_pot,concede_pot,prev_points,form_points,ict_form,total_points,Predicted,Prediction_Error,player_id,name
178,30,6,10,1.1333333333333333,1.1333333333333333,1.0,4.666666666666667,4.766666666666667,12,5.6,6.4,12,Mustafi
203,30,6,10,1.1333333333333333,1.1333333333333333,0.0,2.0,3.9000000000000026,6,3.0,3.0,13,Kolasinac
557,30,12,3,1.8666666666666667,1.6666666666666667,2.0,1.0,3.1333333333333333,0,0.2,0.2,32,Francis
586,30,12,3,1.8666666666666667,1.6666666666666667,2.0,1.0,4.666666666666668,0,-0.2,0.2,33,Cook
617,30,12,3,1.8666666666666667,1.6666666666666667,2.0,1.0,1.9999999999999991,1,0.4,0.6,34,Daniels
647,30,12,3,1.8666666666666667,1.6666666666666667,2.0,4.0,6.033333333333332,3,3.2,0.20000000000000018,35,Smith
680,30,12,3,1.8666666666666667,1.6666666666666667,2.0,2.0,3.6666666666666687,0,1.3,1.3,38,Aké
1030,30,11,9,1.6666666666666667,1.2666666666666666,8.0,3.0,4.899999999999996,1,0.4,0.6,55,Dunk
1062,30,11,9,1.6666666666666667,1.2666666666666666,6.0,3.0,4.966666666666668,1,1.2,0.19999999999999996,56,Duffy
1104,30,11,9,1.6666666666666667,1.2666666666666666,2.0,1.0,1.8666666666666665,-1,0.9,1.9,59,Bong
1324,30,7,16,1.1428571428571428,0.9333333333333332,7.0,5.0,4.866666666666664,6,4.0,2.0,76,Lowton
1355,30,7,16,1.1428571428571428,0.9333333333333332,2.0,3.333333333333333,3.9333333333333336,6,4.1,1.9000000000000004,77,Mee
1376,30,7,16,1.1428571428571428,0.9333333333333332,2.0,3.333333333333333,2.933333333333332,6,4.3,1.7000000000000002,78,Ward
1402,30,7,16,1.1428571428571428,0.9333333333333332,2.0,3.6666666666666665,3.2666666666666657,7,4.7,2.3,79,Tarkowski
1740,30,5,18,0.6666666666666666,0.7333333333333333,2.0,2.0,3.333333333333333,3,3.1,0.10000000000000009,97,Azpilicueta
1764,30,5,18,0.6666666666666666,0.7333333333333333,1.0,1.0,1.8666666666666665,2,2.6,0.6000000000000001,98,Cahill
1793,30,19,1,2.2666666666666666,1.5333333333333334,7.0,3.333333333333333,1.933333333333332,1,0.9,0.09999999999999998,99,Zouma
1823,30,5,18,0.6666666666666666,0.7333333333333333,2.0,1.6666666666666667,4.199999999999998,2,2.5,0.5,100,Alonso
2162,30,18,5,1.7333333333333334,1.6666666666666667,1.0,3.333333333333333,3.5333333333333337,0,3.4,3.4,117,Tomkins
2211,30,18,5,1.7333333333333334,1.6666666666666667,1.0,0.3333333333333333,2.1000000000000005,-1,0.1,1.1,120,Kelly
2235,30,18,5,1.7333333333333334,1.6666666666666667,4.0,2.333333333333333,2.266666666666668,1,1.3,0.30000000000000004,123,Schlupp
2256,30,18,5,1.7333333333333334,1.6666666666666667,7.0,5.0,5.933333333333333,6,2.6,3.4,124,van Aanholt
2511,30,9,11,0.4666666666666667,1.2,1.0,6.666666666666668,4.366666666666667,12,8.6,3.4000000000000004,138,Baines
2519,30,9,11,0.4666666666666667,1.2,4.0,3.6666666666666665,3.5666666666666664,6,4.0,2.0,139,Coleman
2540,30,9,11,0.4666666666666667,1.2,2.0,2.333333333333333,2.066666666666668,6,3.4,2.6,140,Jagielka
2583,30,9,11,0.4666666666666667,1.2,2.0,1.0,1.733333333333331,1,1.9,0.8999999999999999,144,Holgate
2625,30,9,11,0.4666666666666667,1.2,1.0,3.0,2.5999999999999983,6,4.5,1.5,146,Keane
2930,30,15,14,0.6666666666666666,1.3333333333333333,1.0,3.333333333333333,3.2333333333333347,7,4.7,2.3,164,Schindler
3011,30,15,14,0.6666666666666666,1.3333333333333333,1.0,3.333333333333333,3.2,7,4.7,2.3,171,Jorgensen
3344,30,8,20,1.0666666666666669,1.7333333333333334,2.0,2.0,2.1333333333333333,2,2.9,0.8999999999999999,191,Morgan
3392,30,8,20,1.0666666666666669,1.7333333333333334,2.0,0.6666666666666666,1.5333333333333352,1,1.4,0.3999999999999999,193,Simpson
3414,30,8,20,1.0666666666666669,1.7333333333333334,2.0,3.0,5.266666666666668,5,3.5,1.5,196,Chilwell
3453,30,8,20,1.0666666666666669,1.7333333333333334,2.0,2.0,6.533333333333331,2,2.0,0.0,198,Maguire
3774,30,4,2,2.2,1.6,7.0,3.0,5.533333333333334,1,0.0,1.0,215,Lovren
3894,30,4,2,2.2,1.6,1.0,1.3333333333333333,4.600000000000004,1,0.5,0.5,222,Milner
3911,30,4,2,2.2,1.6,9.0,4.0,3.833333333333334,1,0.8,0.19999999999999996,223,Alexander-Arnold
4211,30,1,19,1.0666666666666669,0.6666666666666666,6.0,4.666666666666667,3.5,6,4.6,1.4000000000000004,244,Kompany
4243,30,1,19,1.0666666666666669,0.6666666666666666,6.0,6.333333333333332,3.9666666666666615,8,6.6,1.4000000000000004,245,Otamendi
4594,30,2,4,2.333333333333333,0.4666666666666667,8.0,4.0,5.200000000000001,2,1.2,0.8,263,Smalling
4658,30,2,4,2.333333333333333,0.4666666666666667,4.0,2.0,5.133333333333333,1,0.3,0.7,267,Valencia
4666,30,2,4,2.333333333333333,0.4666666666666667,1.0,1.0,0.19999999999999987,1,1.3,0.30000000000000004,268,Darmian
4702,30,2,4,2.333333333333333,0.4666666666666667,1.0,1.0,1.9333333333333325,0,0.9,0.9,271,Bailly
5031,30,13,17,0.9285714285714286,1.0,1.0,2.333333333333333,1.7999999999999992,6,3.8,2.2,288,Yedlin
5079,30,13,17,0.9285714285714286,1.0,1.0,3.0,3.5333333333333345,7,4.3,2.7,290,Lascelles
5094,30,13,17,0.9285714285714286,1.0,1.0,2.6666666666666665,2.4666666666666672,6,4.1,1.9000000000000004,291,Dummett
5115,30,13,17,0.9285714285714286,1.0,1.0,2.6666666666666665,2.7,6,4.0,2.0,294,Lejeune
5354,30,17,13,1.0,1.6428571428571428,6.0,3.0,3.4,1,2.0,1.0,307,Bertrand
5403,30,17,13,1.0,1.6428571428571428,6.0,3.0,4.733333333333333,1,1.7,0.7,310,Soares
5424,30,4,2,2.2,1.6,6.0,3.0,4.2,1,0.7,0.30000000000000004,311,van Dijk
5448,30,17,13,1.0,1.6428571428571428,6.0,2.6666666666666665,1.9666666666666643,0,1.9,1.9,313,Stephens
