,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,long_form,ict_form,total_points,Predicted,Prediction_Error,player_id,name
328,33,3,9,2.176470588235294,1.5294117647058822,1.4705882352941178,1.2352941176470589,1.0,1.0,2.0,1.3666666666666654,1,1.4,-0.3999999999999999,19,Oxlade-Chamberlain
356,33,6,18,2.647058823529412,0.9375,1.1176470588235294,1.8125,3.0,4.666666666666667,4.0,5.833333333333332,9,5.6,3.4000000000000004,21,Iwobi
368,33,6,18,2.647058823529412,0.9375,1.1176470588235294,1.8125,2.0,1.3333333333333333,1.2,4.833333333333334,-1,1.8,-2.8,22,Elneny
401,33,6,18,2.647058823529412,0.9375,1.1176470588235294,1.8125,1.0,1.6666666666666667,2.2,3.6333333333333333,2,2.6,-0.6000000000000001,23,Xhaka
421,33,6,18,2.647058823529412,0.9375,1.1176470588235294,1.8125,3.0,1.3333333333333333,1.4,2.966666666666668,0,1.5,-1.5,24,Wilshere
716,33,11,17,1.4705882352941178,0.8235294117647058,1.6470588235294117,1.5882352941176472,1.0,1.3333333333333333,1.2,1.733333333333334,2,2.1,-0.10000000000000009,40,Pugh
736,33,11,17,1.4705882352941178,0.8235294117647058,1.6470588235294117,1.5882352941176472,1.0,1.0,1.4,0.5999999999999998,1,1.7,-0.7,41,Surman
779,33,11,17,1.4705882352941178,0.8235294117647058,1.6470588235294117,1.5882352941176472,2.0,1.6666666666666667,1.4,4.000000000000003,1,1.9,-0.8999999999999999,43,Gosling
834,33,11,17,1.4705882352941178,0.8235294117647058,1.6470588235294117,1.5882352941176472,2.0,2.0,2.0,3.2333333333333343,2,2.4,-0.3999999999999999,46,Cook
856,33,11,17,1.4705882352941178,0.8235294117647058,1.6470588235294117,1.5882352941176472,2.0,3.6666666666666665,3.6,8.966666666666667,7,4.0,3.0,47,Fraser
1170,33,13,16,1.2941176470588236,0.6470588235294118,1.4117647058823528,1.8823529411764703,1.0,2.6666666666666665,3.2,3.2666666666666693,2,3.6,-1.6,63,Stephens
1184,33,13,16,1.2941176470588236,0.6470588235294118,1.4117647058823528,1.8823529411764703,1.0,1.3333333333333333,1.2,0.8666666666666666,1,2.2,-1.2000000000000002,64,Kayal
1215,33,13,16,1.2941176470588236,0.6470588235294118,1.4117647058823528,1.8823529411764703,1.0,3.333333333333333,2.6,3.6666666666666634,8,4.5,3.5,66,March
1252,33,13,16,1.2941176470588236,0.6470588235294118,1.4117647058823528,1.8823529411764703,2.0,2.0,3.4,6.100000000000006,2,2.1,-0.10000000000000009,70,Groß
1528,33,7,12,1.1176470588235294,1.4705882352941178,0.9411764705882352,1.7647058823529411,1.0,1.6666666666666667,2.2,0.7333333333333334,1,2.3,-1.2999999999999998,86,Hendrick
1557,33,7,12,1.1176470588235294,1.4705882352941178,0.9411764705882352,1.7647058823529411,2.0,2.0,1.8,3.5333333333333345,2,2.1,-0.10000000000000009,88,Westwood
1593,33,7,12,1.1176470588235294,1.4705882352941178,0.9411764705882352,1.7647058823529411,1.0,4.666666666666667,3.6,4.433333333333335,10,5.9,4.1,90,Cork
1911,33,5,14,1.6470588235294117,1.25,0.8823529411764706,2.3125,2.0,2.333333333333333,3.0,11.83333333333333,2,2.1,-0.10000000000000009,104,Hazard
1940,33,5,14,1.6470588235294117,1.25,0.8823529411764706,2.3125,2.0,2.333333333333333,2.0,7.4333333333333345,2,2.5,-0.5,105,Fàbregas
1972,33,5,14,1.6470588235294117,1.25,0.8823529411764706,2.3125,2.0,4.666666666666667,5.0,12.633333333333333,2,5.0,-3.0,106,Borges Da Silva
2005,33,2,1,1.75,3.3125,1.125,0.8125,3.0,2.333333333333333,3.4,3.233333333333334,2,1.6,0.3999999999999999,107,Matic
2025,33,17,11,0.8235294117647058,1.4705882352941178,1.5882352941176472,1.6470588235294117,1.0,1.3333333333333333,2.6,2.133333333333336,2,1.6,0.3999999999999999,108,Loftus-Cheek
2051,33,5,14,1.6470588235294117,1.25,0.8823529411764706,2.3125,1.0,1.3333333333333333,1.6,0.9666666666666658,1,2.2,-1.2000000000000002,109,Rodríguez Ledesma
2060,33,10,8,1.0625,1.375,1.625,1.1875,6.0,8.333333333333334,6.0,8.1,3,8.3,-5.300000000000001,110,Nunes do Nascimento
2089,33,5,14,1.6470588235294117,1.25,0.8823529411764706,2.3125,2.0,4.0,3.2,5.100000000000001,3,4.9,-1.9000000000000004,111,Kanté
