,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,long_form,ict_form,total_points,Predicted,Prediction_Error,player_id,name
274,30,6,10,2.6,1.1333333333333333,1.1333333333333333,1.6,2.0,3.333333333333333,2.8,7.333333333333329,6,3.8,2.2,16,Özil
325,30,4,2,2.333333333333333,2.2,1.6,0.4666666666666667,6.0,4.333333333333333,3.0,7.2666666666666675,1,3.0,-2.0,19,Oxlade-Chamberlain
355,30,6,10,2.6,1.1333333333333333,1.1333333333333333,1.6,2.0,2.0,2.6,2.9,3,2.5,0.5,21,Iwobi
366,30,6,10,2.6,1.1333333333333333,1.1333333333333333,1.6,2.0,1.6666666666666667,1.8,2.566666666666667,3,2.1,0.8999999999999999,22,Elneny
399,30,6,10,2.6,1.1333333333333333,1.1333333333333333,1.6,4.0,2.6666666666666665,2.4,5.3,2,2.4,-0.3999999999999999,23,Xhaka
419,30,6,10,2.6,1.1333333333333333,1.1333333333333333,1.6,1.0,1.3333333333333333,1.4,2.5000000000000013,1,2.0,-1.0,24,Wilshere
754,30,12,3,1.4,1.8666666666666667,1.6666666666666667,1.0666666666666669,2.0,3.6666666666666665,3.8,9.666666666666668,7,3.3,3.7,42,Stanislas
776,30,12,3,1.4,1.8666666666666667,1.6666666666666667,1.0666666666666669,1.0,3.6666666666666665,2.6,6.433333333333336,1,4.0,-3.0,43,Gosling
806,30,12,3,1.4,1.8666666666666667,1.6666666666666667,1.0666666666666669,1.0,2.333333333333333,3.2,3.8666666666666663,1,2.5,-1.5,45,Ibe
831,30,12,3,1.4,1.8666666666666667,1.6666666666666667,1.0666666666666669,2.0,3.0,2.6,3.6,2,3.0,-1.0,46,Cook
1139,30,11,9,0.4666666666666667,1.6666666666666667,1.2666666666666666,1.2,2.0,3.333333333333333,2.6,4.133333333333335,-1,3.4,-4.4,62,Knockaert
1182,30,11,9,0.4666666666666667,1.6666666666666667,1.2666666666666666,1.2,1.0,1.3333333333333333,1.2,0.29999999999999993,2,1.6,0.3999999999999999,64,Kayal
1250,30,11,9,0.4666666666666667,1.6666666666666667,1.2666666666666666,1.2,6.0,4.333333333333333,5.6,10.03333333333334,2,2.5,-0.5,70,Groß
1474,30,7,16,1.0,1.1428571428571428,0.9333333333333332,1.4285714285714286,5.0,4.333333333333333,5.0,8.4,6,3.5,2.5,84,Gudmundsson
1526,30,7,16,1.0,1.1428571428571428,0.9333333333333332,1.4285714285714286,1.0,3.0,2.4,3.3666666666666667,3,3.9,-0.8999999999999999,86,Hendrick
1555,30,7,16,1.0,1.1428571428571428,0.9333333333333332,1.4285714285714286,1.0,1.6666666666666667,1.6,2.9666666666666672,2,2.2,-0.20000000000000018,88,Westwood
1591,30,7,16,1.0,1.1428571428571428,0.9333333333333332,1.4285714285714286,2.0,2.333333333333333,2.0,1.8000000000000016,3,2.8,0.20000000000000018,90,Cork
1909,30,5,18,1.7333333333333334,0.6666666666666666,0.7333333333333333,1.6666666666666667,2.0,3.6666666666666665,7.0,8.099999999999996,3,4.0,-1.0,104,Hazard
1938,30,5,18,1.7333333333333334,0.6666666666666666,0.7333333333333333,1.6666666666666667,2.0,2.0,1.8,3.8000000000000007,3,2.5,0.5,105,Fàbregas
1970,30,5,18,1.7333333333333334,0.6666666666666666,0.7333333333333333,1.6666666666666667,2.0,7.0,4.6,10.0,10,8.4,1.5999999999999996,106,Borges Da Silva
2003,30,2,4,2.2,2.333333333333333,0.4666666666666667,1.6,9.0,4.0,3.4,6.1000000000000005,2,1.8,0.19999999999999996,107,Matic
2050,30,5,18,1.7333333333333334,0.6666666666666666,0.7333333333333333,1.6666666666666667,2.0,1.3333333333333333,1.8,0.5666666666666659,1,1.9,-0.8999999999999999,109,Rodríguez Ledesma
2058,30,13,17,1.0,0.9285714285714286,1.0,1.6428571428571428,2.0,7.0,5.0,5.966666666666668,16,8.5,7.5,110,Nunes do Nascimento
2087,30,5,18,1.7333333333333334,0.6666666666666666,0.7333333333333333,1.6666666666666667,1.0,3.6666666666666665,3.0,4.033333333333334,7,5.0,2.0,111,Kanté
2291,30,18,5,0.6666666666666666,1.7333333333333334,1.6666666666666667,0.7333333333333333,2.0,2.6666666666666665,2.6,7.2333333333333325,4,2.1,1.9,126,Zaha
2320,30,18,5,0.6666666666666666,1.7333333333333334,1.6666666666666667,0.7333333333333333,2.0,2.0,2.0,3.5000000000000004,2,1.6,0.3999999999999999,127,McArthur
2329,30,18,5,0.6666666666666666,1.7333333333333334,1.6666666666666667,0.7333333333333333,1.0,1.0,1.2,0.06666666666666672,1,1.0,0.0,128,Lee
2400,30,18,5,0.6666666666666666,1.7333333333333334,1.6666666666666667,0.7333333333333333,6.0,3.6666666666666665,3.0,5.666666666666671,2,2.0,0.0,131,Townsend
2432,30,18,5,0.6666666666666666,1.7333333333333334,1.6666666666666667,0.7333333333333333,2.0,2.0,4.8,2.9333333333333367,2,1.5,0.5,132,Milivojevic
2638,30,9,11,1.6666666666666667,0.4666666666666667,1.2,1.2666666666666666,1.0,2.6666666666666665,2.2,1.6,6,3.7,2.3,147,Bolasie
2700,30,7,16,1.0,1.1428571428571428,0.9333333333333332,1.4285714285714286,2.0,3.0,2.8,6.966666666666665,5,3.2,1.7999999999999998,153,Lennon
2784,30,9,11,1.6666666666666667,0.4666666666666667,1.2,1.2666666666666666,1.0,2.0,2.8,1.6333333333333335,3,2.7,0.2999999999999998,156,Davies
2799,30,9,11,1.6666666666666667,0.4666666666666667,1.2,1.2666666666666666,1.0,1.0,1.0,0.2666666666666669,1,1.6,-0.6000000000000001,158,Klaassen
3043,30,15,14,1.0,0.6666666666666666,1.3333333333333333,1.5333333333333334,7.0,3.6666666666666665,3.0,8.6,3,2.0,1.0,172,Mooy
3073,30,15,14,1.0,0.6666666666666666,1.3333333333333333,1.5333333333333334,2.0,5.0,4.8,8.533333333333333,3,5.5,-2.5,173,van La Parra
3099,30,15,14,1.0,0.6666666666666666,1.3333333333333333,1.5333333333333334,1.0,2.0,1.8,3.1,3,2.6,0.3999999999999999,174,Hogg
3173,30,15,14,1.0,0.6666666666666666,1.3333333333333333,1.5333333333333334,1.0,1.6666666666666667,1.6,4.933333333333335,3,2.0,1.0,182,Ince
3200,30,15,14,1.0,0.6666666666666666,1.3333333333333333,1.5333333333333334,2.0,1.6666666666666667,1.6,2.233333333333333,1,1.9,-0.8999999999999999,184,Williams
3484,30,8,20,1.6,1.0666666666666669,1.7333333333333334,1.6,10.0,7.666666666666668,6.4,12.133333333333333,11,6.0,5.0,199,Mahrez
3517,30,8,20,1.6,1.0666666666666669,1.7333333333333334,1.6,2.0,3.6666666666666665,3.0,8.233333333333333,4,4.2,-0.20000000000000018,200,Albrighton
3533,30,14,15,0.6666666666666666,1.0,1.5333333333333334,1.3333333333333333,7.0,3.6666666666666665,2.6,3.333333333333333,3,2.4,0.6000000000000001,201,King
3575,30,8,20,1.6,1.0666666666666669,1.7333333333333334,1.6,2.0,1.6666666666666667,1.6,3.633333333333333,2,2.1,-0.10000000000000009,203,Gray
3616,30,8,20,1.6,1.0666666666666669,1.7333333333333334,1.6,2.0,1.6666666666666667,1.6,4.2,1,2.0,-1.0,206,Ndidi
3632,30,8,20,1.6,1.0666666666666669,1.7333333333333334,1.6,1.0,4.333333333333333,3.4,4.8666666666666645,10,5.8,4.2,208,Iborra
3976,30,4,2,2.333333333333333,2.2,1.6,0.4666666666666667,3.0,6.0,4.2,6.866666666666667,2,6.3,-4.3,227,Can
3987,30,4,2,2.333333333333333,2.2,1.6,0.4666666666666667,1.0,1.0,1.0,0.8333333333333329,1,1.2,-0.19999999999999996,228,Lallana
4010,30,4,2,2.333333333333333,2.2,1.6,0.4666666666666667,8.0,7.333333333333332,5.6,9.733333333333333,7,5.9,1.0999999999999996,230,Mané
4042,30,4,2,2.333333333333333,2.2,1.6,0.4666666666666667,3.0,1.6666666666666667,1.6,1.2000000000000008,1,1.2,-0.19999999999999996,232,Wijnaldum
4075,30,4,2,2.333333333333333,2.2,1.6,0.4666666666666667,8.0,6.666666666666668,9.6,11.933333333333339,2,4.6,-2.5999999999999996,234,Salah
4290,30,1,19,2.2666666666666666,1.0666666666666669,0.6666666666666666,1.5333333333333334,8.0,5.666666666666668,6.4,11.500000000000005,6,4.3,1.7000000000000002,247,Sterling
4317,30,1,19,2.2666666666666666,1.0666666666666669,0.6666666666666666,1.5333333333333334,9.0,11.0,7.0,12.5,16,10.9,5.1,248,Silva
4355,30,1,19,2.2666666666666666,1.0666666666666669,0.6666666666666666,1.5333333333333334,2.0,2.333333333333333,3.8,3.2999999999999994,3,3.0,0.0,250,Luiz Rosa
