,round,team_rank,opponent_team_rank,opp_pot,concede_pot,prev_points,form_points,ict_form,total_points,Predicted,Prediction_Error,player_id,name
157,34,6,10,1.0588235294117647,1.625,1.0,2.6666666666666665,2.333333333333334,1,3.7,2.7,11,Holding
181,34,6,10,1.0588235294117647,1.625,1.0,3.333333333333333,3.9,1,4.2,3.2,12,Mustafi
560,34,11,3,2.411764705882353,1.6470588235294117,0.0,0.6666666666666666,5.233333333333333,1,-0.2,1.2,32,Francis
590,34,11,3,2.411764705882353,1.6470588235294117,5.0,2.333333333333333,4.900000000000003,1,-0.1,1.1,33,Cook
621,34,11,3,2.411764705882353,1.6470588235294117,1.0,1.0,2.733333333333332,1,0.3,0.7,34,Daniels
684,34,11,3,2.411764705882353,1.6470588235294117,1.0,1.6666666666666667,3.4333333333333367,0,1.0,1.0,38,Aké
1033,34,13,16,1.2941176470588236,1.375,2.0,2.333333333333333,5.766666666666663,4,2.3,1.7000000000000002,55,Dunk
1065,34,13,16,1.2941176470588236,1.375,1.0,1.0,2.966666666666668,1,1.6,0.6000000000000001,56,Duffy
1107,34,13,16,1.2941176470588236,1.375,2.0,1.0,2.7,1,1.3,0.30000000000000004,59,Bong
1327,34,7,8,1.5882352941176472,0.8125,1.0,1.6666666666666667,3.63333333333333,2,1.9,0.10000000000000009,76,Lowton
1379,34,7,8,1.5882352941176472,0.8125,2.0,2.0,2.933333333333332,2,2.1,0.10000000000000009,78,Ward
1405,34,7,8,1.5882352941176472,0.8125,2.0,2.0,3.033333333333333,2,2.1,0.10000000000000009,79,Tarkowski
1416,34,7,8,1.5882352941176472,0.8125,5.0,5.666666666666668,5.499999999999999,10,4.9,5.1,80,Long
1743,34,5,18,1.0588235294117647,1.125,11.0,4.333333333333333,6.533333333333334,1,1.5,0.5,97,Azpilicueta
1766,34,5,18,1.0588235294117647,1.125,2.0,1.3333333333333333,2.933333333333333,0,2.0,2.0,98,Cahill
1826,34,5,18,1.0588235294117647,1.125,2.0,2.333333333333333,4.599999999999998,4,2.9,1.1,100,Alonso
1860,34,5,18,1.0588235294117647,1.125,2.0,2.333333333333333,4.100000000000001,1,3.0,2.0,102,Moses
2165,34,16,13,0.5625,1.5882352941176472,0.0,7.666666666666668,8.3,8,9.3,1.3000000000000007,117,Tomkins
2198,34,16,13,0.5625,1.5882352941176472,1.0,2.333333333333333,4.133333333333334,1,3.2,2.2,119,Ward
2260,34,16,13,0.5625,1.5882352941176472,1.0,1.0,4.099999999999999,1,1.6,0.6000000000000001,124,van Aanholt
2515,34,9,17,1.0,1.9411764705882355,6.0,3.0,2.800000000000001,2,2.3,0.2999999999999998,138,Baines
2523,34,9,17,1.0,1.9411764705882355,6.0,3.0,2.4666666666666663,2,2.4,0.3999999999999999,139,Coleman
2544,34,9,17,1.0,1.9411764705882355,6.0,3.0,2.266666666666667,2,2.4,0.3999999999999999,140,Jagielka
2545,34,9,17,1.0,1.9411764705882355,0.0,0.0,0.0,1,1.5,0.5,142,Funes Mori
2629,34,9,17,1.0,1.9411764705882355,7.0,3.333333333333333,3.433333333333332,2,2.2,0.20000000000000018,146,Keane
2934,34,14,12,1.0,1.2941176470588236,2.0,3.6666666666666665,2.200000000000001,8,4.6,3.4000000000000004,164,Schindler
3015,34,14,12,1.0,1.2941176470588236,2.0,5.0,4.499999999999999,11,5.8,5.2,171,Jorgensen
3347,34,8,7,0.875,1.6470588235294117,1.0,2.333333333333333,1.9333333333333336,1,3.3,2.3,191,Morgan
3395,34,8,7,0.875,1.6470588235294117,1.0,2.333333333333333,1.3333333333333357,1,3.4,2.4,193,Simpson
3417,34,8,7,0.875,1.6470588235294117,1.0,4.333333333333333,5.533333333333334,1,5.0,4.0,196,Chilwell
3456,34,8,7,0.875,1.6470588235294117,0.0,2.0,5.23333333333333,1,2.6,1.6,198,Maguire
3777,34,3,11,0.9411764705882352,0.5882352941176471,8.0,5.333333333333333,2.9,7,4.5,2.5,215,Lovren
3854,34,3,11,0.9411764705882352,0.5882352941176471,6.0,2.6666666666666665,0.6333333333333341,1,2.5,1.5,220,Klavan
