player_id,name,pos,Predicted,total_points,Prediction_Error,round,concede_pot,opp_pot,team_rank,opponent_team_rank,form_points,ict_form,save_form,prev_points,opp_concede_pot,team_pot,long_form
357,Mawson,Defender,2.9,5,2.1,30,1.533333333,1,14,15,2.333333333,3.166666667,0,2,0,0,0
358,Olsson,Defender,3.2,5,1.8,30,1.533333333,1,14,15,2.333333333,1.866666667,0,2,0,0,0
378,Rose,Defender,1.6,1,0.6,30,1.066666667,1.4,3,12,1,2.7,0,1,0,0,0
379,Walker,Defender,7.9,6,1.9,30,0.6666666667,1.066666667,1,19,7.333333333,3.2,0,6,0,0,0
380,Vertonghen,Defender,4.8,2,2.8,30,1.066666667,1.4,3,12,6,3.7,0,8,0,0,0
382,Trippier,Defender,2.9,4,1.1,30,1.066666667,1.4,3,12,3.666666667,3.066666667,0,6,0,0,0
400,Prödl,Defender,2.7,1,1.7,30,1.6,2.6,10,6,4.333333333,1.4,0,6,0,0,0
401,Holebas,Defender,1.9,0,1.9,30,1.6,2.6,10,6,5,5.6,0,8,0,0,0
402,Britos,Defender,0.8,1,0.2,30,1.6,2.6,10,6,1,0.4666666667,0,1,0,0,0
404,Janmaat,Defender,1.8,1,0.8,30,1.6,2.6,10,6,4,3.766666667,0,6,0,0,0
405,Mariappa,Defender,3.3,1,2.3,30,1.6,2.6,10,6,4.666666667,2.366666667,0,5,0,0,0
407,Femenía Far,Defender,0,1,1,30,1.6,2.6,10,6,0.6666666667,2.433333333,0,1,0,0,0
422,Nyom,Defender,0.7,0,0.7,30,1.6,1.6,20,8,0.6666666667,1.866666667,0,1,0,0,0
424,Dawson,Defender,2.4,0,2.4,30,1.6,1.6,20,8,3,5.333333333,0,2,0,0,0
441,Collins,Defender,4.4,1,3.4,30,1.428571429,1,16,7,3,3.4,0,-1,0,0,0
443,Cresswell,Defender,0.1,0,0.1,30,1.428571429,1,16,7,1,4.966666667,0,3,0,0,0
444,Ogbonna,Defender,3.3,1,2.3,30,1.428571429,1,16,7,2.333333333,2.9,0,0,0,0,0
447,Zabaleta,Defender,1.1,1,0.1,30,1.428571429,1,16,7,0.3333333333,1.9,0,0,0,0,0
461,Suttner,Defender,1.4,1,0.4,30,1.266666667,1.666666667,11,9,0.6666666667,1.333333333,0,0,0,0,0
462,Malone,Defender,3.8,6,2.2,30,1.333333333,0.6666666667,15,14,2.666666667,3.533333333,0,1,0,0,0
468,Hegazi,Defender,0.6,0,0.6,30,1.6,1.6,20,8,1,2.533333333,0,2,0,0,0
470,Christensen,Defender,3,2,1,30,0.7333333333,0.6666666667,5,18,1.666666667,2,0,2,0,0,0
475,Robertson,Defender,2,1,1,30,1.6,2.2,4,2,4.333333333,5.833333333,0,6,0,0,0
480,Chambers,Defender,2.1,1,1.1,30,1.133333333,1.133333333,6,10,1.333333333,2.566666667,0,1,0,0,0
482,Riedewald,Defender,1.4,1,0.4,30,1.666666667,1.733333333,18,5,1.333333333,1.3,0,1,0,0,0
513,Martins Indi,Defender,0.9,1,0.1,30,1.533333333,2.266666667,19,1,3,1.8,0,6,0,0,0
520,Sánchez,Defender,5,2,3,30,1.066666667,1.4,3,12,5.333333333,2.7,0,6,0,0,0
521,Hadergjonaj,Defender,3.5,8,4.5,30,1.333333333,0.6666666667,15,14,3,6.933333333,0,1,0,0,0
