,round,team_rank,opponent_team_rank,opp_pot,concede_pot,prev_points,form_points,save_form,ict_form,total_points,Predicted,Prediction_Error,player_id,name
997,30,11,9,1.6666666666666667,1.2666666666666666,4.0,4.333333333333333,3.333333333333333,3.066666666666668,7,3.8,3.2,54,Ryan
1707,30,5,18,0.6666666666666666,0.7333333333333333,2.0,2.0,1.6666666666666667,1.5333333333333332,2,3.5,1.5,94,Courtois
2126,30,18,5,1.7333333333333334,1.6666666666666667,2.0,2.6666666666666665,5.0,3.0333333333333328,3,2.5,0.5,115,Hennessey
2493,30,9,11,0.4666666666666667,1.2,3.0,4.333333333333333,4.666666666666667,3.566666666666668,7,4.6,2.4000000000000004,135,Pickford
2897,30,15,14,0.6666666666666666,1.3333333333333333,2.0,3.333333333333333,2.333333333333333,1.4333333333333331,6,4.8,1.2000000000000002,163,Lössl
3315,30,8,20,1.0666666666666669,1.7333333333333334,1.0,1.6666666666666667,1.3333333333333333,0.7666666666666675,2,3.3,1.2999999999999998,189,Schmeichel
3747,30,4,2,2.2,1.6,8.0,4.0,1.6666666666666667,1.3333333333333324,1,2.0,1.0,214,Karius
4179,30,1,19,1.0666666666666669,0.6666666666666666,6.0,9.333333333333334,2.0,2.2,7,9.5,2.5,240,Santana de Moraes
4569,30,2,4,2.333333333333333,0.4666666666666667,1.0,2.333333333333333,3.333333333333333,2.299999999999999,2,2.7,0.7000000000000002,260,de Gea
5304,30,17,13,1.0,1.6428571428571428,7.0,3.333333333333333,2.333333333333333,1.7333333333333332,1,2.6,1.6,305,McCarthy
5738,30,19,1,2.2666666666666666,1.5333333333333334,11.0,6.333333333333332,6.333333333333332,3.866666666666666,2,2.6,0.6000000000000001,328,Butland
6086,30,14,15,1.0,1.5333333333333334,2.0,3.6666666666666665,2.0,2.3666666666666654,9,4.5,4.5,350,Fabianski
6510,30,3,12,1.4,1.0666666666666669,7.0,5.333333333333333,2.6666666666666665,2.100000000000001,2,4.4,2.4000000000000004,375,Lloris
7282,30,20,8,1.6,1.6,2.0,1.6666666666666667,3.333333333333333,2.466666666666667,1,1.9,0.8999999999999999,421,Foster
8061,30,7,16,1.1428571428571428,0.9333333333333332,3.0,5.0,3.6666666666666665,3.3666666666666685,9,5.2,3.8,469,Pope
8207,30,16,7,1.0,1.4285714285714286,5.0,2.6666666666666665,1.0,1.0000000000000002,1,2.9,1.9,479,Hart
8831,30,10,6,2.6,1.6,8.0,5.666666666666668,3.0,1.9666666666666668,2,3.5,1.5,536,Karnezis
9107,30,13,17,0.9285714285714286,1.0,1.0,3.0,2.0,1.5333333333333334,6,4.8,1.2000000000000002,621,Dubravka
528,30,10,20,0.5,1.625,1.0,2.333333333333333,3.6666666666666665,2.433333333333333,3,3.7,0.7000000000000002,29,Begovic
2127,30,16,15,0.9375,1.5625,3.0,3.6666666666666665,4.333333333333333,2.4666666666666663,6,4.2,1.7999999999999998,115,Hennessey
