,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,long_form,ict_form,total_points,Predicted,Prediction_Error,player_id,name
329,34,3,11,2.411764705882353,0.9411764705882352,0.5882352941176471,1.6470588235294117,1.0,2.333333333333333,1.8,3.2666666666666653,5,3.3,1.7000000000000002,19,Oxlade-Chamberlain
357,34,6,10,1.0625,1.0588235294117647,1.625,0.9411764705882352,9.0,4.666666666666667,3.4,6.0,2,2.6,-0.6000000000000001,21,Iwobi
369,34,6,10,1.0625,1.0588235294117647,1.625,0.9411764705882352,-1.0,1.0,1.6,4.466666666666668,2,1.7,0.30000000000000004,22,Elneny
402,34,6,10,1.0625,1.0588235294117647,1.625,0.9411764705882352,2.0,1.6666666666666667,2.2,4.033333333333334,2,1.4,0.6000000000000001,23,Xhaka
737,34,11,3,0.9411764705882352,2.411764705882353,1.6470588235294117,0.5882352941176471,1.0,1.0,1.2,0.633333333333333,1,0.8,0.19999999999999996,41,Surman
780,34,11,3,0.9411764705882352,2.411764705882353,1.6470588235294117,0.5882352941176471,1.0,1.6666666666666667,1.6,3.3666666666666694,2,1.5,0.5,43,Gosling
809,34,11,3,0.9411764705882352,2.411764705882353,1.6470588235294117,0.5882352941176471,2.0,4.333333333333333,3.0,6.033333333333331,1,4.4,-3.4000000000000004,45,Ibe
835,34,11,3,0.9411764705882352,2.411764705882353,1.6470588235294117,0.5882352941176471,2.0,2.0,2.0,2.3333333333333344,2,1.6,0.3999999999999999,46,Cook
857,34,11,3,0.9411764705882352,2.411764705882353,1.6470588235294117,0.5882352941176471,7.0,3.6666666666666665,3.6,8.4,2,1.3,0.7,47,Fraser
1140,34,13,16,0.5625,1.2941176470588236,1.375,1.5882352941176472,-1.0,0.6666666666666666,2.4,2.766666666666668,1,1.5,-0.5,62,Knockaert
1171,34,13,16,0.5625,1.2941176470588236,1.375,1.5882352941176472,2.0,1.3333333333333333,3.2,2.9333333333333367,1,1.2,-0.19999999999999996,63,Stephens
1185,34,13,16,0.5625,1.2941176470588236,1.375,1.5882352941176472,1.0,1.0,1.2,2.4,1,1.3,-0.30000000000000004,64,Kayal
1216,34,13,16,0.5625,1.2941176470588236,1.375,1.5882352941176472,8.0,3.333333333333333,2.4,4.166666666666663,1,1.5,-0.5,66,March
1253,34,13,16,0.5625,1.2941176470588236,1.375,1.5882352941176472,2.0,2.0,2.8,5.300000000000007,2,1.9,0.10000000000000009,70,Groß
1475,34,7,8,0.875,1.5882352941176472,0.8125,1.6470588235294117,6.0,5.666666666666668,4.2,8.066666666666668,6,4.8,1.2000000000000002,84,Gudmundsson
1529,34,7,8,0.875,1.5882352941176472,0.8125,1.6470588235294117,1.0,1.0,1.4,0.3666666666666667,1,1.3,-0.30000000000000004,86,Hendrick
1558,34,7,8,0.875,1.5882352941176472,0.8125,1.6470588235294117,2.0,2.0,1.8,3.4666666666666672,2,1.9,0.10000000000000009,88,Westwood
