player_id,name,pos,Predicted,total_points,Prediction_Error,round,concede_pot,opp_pot,team_rank,opponent_team_rank,form_points,ict_form,save_form,prev_points,long_form,team_pot,opp_concede_pot
135,Pickford,Goalkeeper,5.4,10,4.6,33,1.235294118,2.176470588,9,3,4.666666667,1.466666667,2.666666667,1,0,0,0
163,Lössl,Goalkeeper,2,1,1,33,1.882352941,1.294117647,16,13,1.666666667,2.533333333,3,2,0,0,0
189,Schmeichel,Goalkeeper,2.5,1,1.5,33,1.1875,1.0625,8,10,6,1.733333333,2,15,0,0,0
214,Karius,Goalkeeper,5.6,6,0.4,33,1.470588235,1.529411765,3,9,4.333333333,0.8666666667,1.333333333,1,0,0,0
240,Santana de Moraes,Goalkeeper,4.1,1,3.1,33,0.8125,1.75,1,2,3.333333333,1,1,2,0,0,0
260,de Gea,Goalkeeper,1.1,2,0.9,33,1.125,3.3125,2,1,3.333333333,2.266666667,2.666666667,6,0,0,0
305,McCarthy,Goalkeeper,1.4,2,0.6,33,1.8125,2.647058824,18,6,1.333333333,1.866666667,2.666666667,1,0,0,0
328,Butland,Goalkeeper,1.3,1,0.3,33,1.588235294,1.941176471,19,4,2.333333333,3.9,5.333333333,3,0,0,0
350,Fabianski,Goalkeeper,5.3,2,3.3,33,1.529411765,1.058823529,15,20,4.333333333,2.3,3,2,0,0,0
375,Lloris,Goalkeeper,3.3,3,0.3,33,1.058823529,1.058823529,4,19,2.666666667,1.9,2.666666667,3,0,0,0
421,Foster,Goalkeeper,3.5,2,1.5,33,1.588235294,0.6470588235,20,15,1.666666667,1.333333333,1.666666667,1,0,0,0
469,Pope,Goalkeeper,5.3,3,2.3,33,0.9411764706,1.470588235,7,12,4.333333333,2.633333333,3.333333333,1,0,0,0
479,Hart,Goalkeeper,2.2,3,0.8,33,2.3125,1.647058824,14,5,3.333333333,1.366666667,2,6,0,0,0
536,Karnezis,Goalkeeper,1.7,1,0.7,33,1.764705882,1.117647059,12,7,1.333333333,2.266666667,3.666666667,2,0,0,0
621,Dubravka,Goalkeeper,4.4,2,2.4,33,1.625,1.375,10,8,4.666666667,0.6333333333,0.6666666667,6,0,0,0
2,Cech,Goalkeeper,6.4,1,5.4,33,1.625,1.058823529,6,10,6,3.3,3.666666667,2,0,0,0
54,Ryan,Goalkeeper,2.2,2,0.2,34,1.375,1.294117647,13,16,2,2.366666667,3.333333333,3,0,0,0
94,Courtois,Goalkeeper,3,2,1,34,1.125,1.058823529,5,18,2,1.766666667,2.333333333,2,0,0,0
115,Hennessey,Goalkeeper,2.5,0,2.5,34,1.588235294,0.5625,16,13,1.333333333,1.5,2.666666667,2,0,0,0
135,Pickford,Goalkeeper,3,4,1,34,1.941176471,1,9,17,5,1.933333333,3,10,0,0,0
163,Lössl,Goalkeeper,4.6,7,2.4,34,1.294117647,1,14,12,3.333333333,2.233333333,2.666666667,1,0,0,0
189,Schmeichel,Goalkeeper,7,1,6,34,1.647058824,0.875,8,7,5.666666667,1.833333333,2,1,0,0,0
190,Hamer,Goalkeeper,2,1,1,34,1.647058824,0.875,8,7,0,0,0,0,0,0,0
214,Karius,Goalkeeper,4.5,6,1.5,34,0.5882352941,0.9411764706,3,11,4.333333333,0.9,1.333333333,6,0,0,0
240,Santana de Moraes,Goalkeeper,2.4,2,0.4,34,0.7058823529,2.066666667,1,4,1.666666667,1.3,1.333333333,1,0,0,0
260,de Gea,Goalkeeper,4.9,3,1.9,34,0.4705882353,0.5294117647,2,20,3.666666667,2.7,3,2,0,0,0
305,McCarthy,Goalkeeper,1.6,1,0.6,34,1.411764706,1.8125,18,5,1.333333333,1.9,2.666666667,2,0,0,0
350,Fabianski,Goalkeeper,3.3,3,0.3,34,1.25,0.7647058824,17,9,2.333333333,2.1,2.666666667,2,0,0,0
375,Lloris,Goalkeeper,2,1,1,34,0.7333333333,2.352941176,4,1,2.333333333,1.733333333,3,3,0,0,0
421,Foster,Goalkeeper,4.4,9,4.6,34,1.470588235,2.058823529,20,2,4,1.7,2,2,0,0,0
469,Pope,Goalkeeper,2.4,4,1.6,34,0.8125,1.588235294,7,8,2.666666667,3.066666667,3.666666667,3,0,0,0
536,Karnezis,Goalkeeper,3.1,2,1.1,34,1.764705882,0.9411764706,12,14,1.666666667,1.166666667,2,1,0,0,0
621,Dubravka,Goalkeeper,4.9,2,2.9,34,0.9411764706,1.0625,10,6,3.333333333,0.5666666667,0.6666666667,2,0,0,0
