assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,26,0,0,0,9,0,1,21,22.3,1,0,608,0,0,243,0,1,0,4.7,14174,12.2,1,2018-01-30T19:45:00Z,30 Jan 19:45,0,0,90,0,0,6,0,0,0,0,6,0,25,0,4121,2,1,1,1,1,12.0,2,4044,4321,277,65,True,0,0
1,36,0,0,0,23,0,2,28,21.0,3,0,608,0,0,253,0,3,0,5.4,14787,27.2,1,2018-02-03T15:00:00Z,03 Feb 15:00,0,0,90,0,1,3,0,0,0,0,7,0,26,0,8479,3,1,1,1,3,6.0,5,4189,5312,1123,65,False,0,0
0,18,0,1,0,8,1,1,12,15.8,0,0,608,0,0,270,1,0,0,6.3,15412,10.8,1,2018-02-10T15:00:00Z,10 Feb 15:00,0,0,76,0,0,18,0,0,0,0,6,0,27,0,11852,1,2,0,0,2,36.0,3,3080,4725,1645,65,True,0,0
0,36,0,0,0,10,0,1,28,3.4,2,0,608,0,0,277,0,4,0,1.5,16039,5.4,0,2018-02-24T15:00:00Z,24 Feb 15:00,0,0,82,0,0,10,0,0,0,0,7,0,28,0,9882,4,1,0,1,4,6.0,2,-2307,939,3246,64,False,0,0
