,player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,save_form,long_form,ict_form
2076,135,Pickford,2017/2018,2,8,5,1.0,1.0,1.0,1.0,6.0,0.0,4,0.0,0.0,0.0
2412,163,Lössl,2017/2018,2,2,17,1.0,0.0,0.0,1.0,9.0,0.0,8,0.0,0.0,0.0
2764,189,Schmeichel,2017/2018,2,9,18,2.0,0.0,0.0,2.0,2.0,0.0,6,0.0,0.0,0.0
3129,213,Mignolet,2017/2018,2,6,19,1.0,0.0,0.0,1.0,0.0,0.0,6,0.0,0.0,0.0
3489,240,Santana de Moraes,2017/2018,2,5,8,1.0,1.0,1.0,1.0,6.0,0.0,2,0.0,0.0,0.0
3809,260,de Gea,2017/2018,2,1,15,0.0,0.0,1.0,4.0,6.0,0.0,6,0.0,0.0,0.0
4184,286,Elliot,2017/2018,2,17,2,0.0,1.0,1.0,0.0,2.0,0.0,2,0.0,0.0,0.0
4460,306,Forster,2017/2018,2,7,20,1.5,1.0,1.0,3.5,6.0,0.0,3,0.0,0.0,0.0
4805,328,Butland,2017/2018,2,14,11,1.0,0.0,0.0,1.0,3.0,0.0,11,0.0,0.0,0.0
5105,350,Fabianski,2017/2018,2,15,1,0.0,0.0,4.0,1.0,6.0,0.0,1,0.0,0.0,0.0
5477,375,Lloris,2017/2018,2,10,12,1.0,2.0,2.0,1.0,7.0,0.0,1,0.0,0.0,0.0
5846,397,Gomes,2017/2018,2,4,16,2.0,0.0,0.0,2.0,1.0,0.0,7,0.0,0.0,0.0
6112,421,Foster,2017/2018,2,3,13,1.0,1.0,0.0,1.0,7.0,0.0,6,0.0,0.0,0.0
6919,479,Hart,2017/2018,2,20,7,1.0,1.5,3.5,1.0,0.0,0.0,1,0.0,0.0,0.0
3,2,Cech,2017/2018,3,16,2,0.0,2.5,2.5,0.0,3.0,2.0,2,3.0,0.0,3.2
412,29,Begovic,2017/2018,3,18,4,0.5,2.0,2.0,0.5,2.0,2.6666666666666665,3,5.333333333333333,0.0,3.766666666666667
799,54,Ryan,2017/2018,3,17,7,0.0,1.5,1.0,1.5,1.0,3.0,6,1.6666666666666667,0.0,1.0333333333333334
1087,74,Heaton,2017/2018,3,10,9,0.5,1.0,1.5,1.5,2.0,2.333333333333333,3,2.6666666666666665,0.0,1.7666666666666666
1415,94,Courtois,2017/2018,3,6,12,2.0,0.5,1.5,1.5,6.0,4.333333333333333,6,2.6666666666666665,0.0,1.9333333333333331
1778,115,Hennessey,2017/2018,3,19,13,0.0,1.0,2.5,0.0,9.0,4.0,1,5.666666666666668,0.0,3.666666666666666
2077,135,Pickford,2017/2018,3,12,6,0.5,2.0,1.5,1.5,4.0,4.0,2,3.6666666666666665,0.0,2.3000000000000003
2413,163,Lössl,2017/2018,3,3,8,0.5,0.0,0.0,0.0,8.0,7.666666666666668,6,3.6666666666666665,0.0,2.8000000000000003
2765,189,Schmeichel,2017/2018,3,15,1,1.5,0.0,3.0,2.5,6.0,5.666666666666668,9,4.333333333333333,0.0,3.5
3147,214,Karius,2017/2018,3,2,16,2.5,0.0,0.0,2.5,0.0,0.0,6,0.0,0.0,0.0
3490,240,Santana de Moraes,2017/2018,3,4,18,2.0,0.5,0.5,2.0,2.0,3.333333333333333,2,1.6666666666666667,0.0,1.2333333333333332
3810,260,de Gea,2017/2018,3,1,15,0.0,1.5,2.5,3.0,6.0,6.333333333333332,7,2.0,0.0,1.4666666666666668
4185,286,Elliot,2017/2018,3,14,20,1.5,0.6666666666666666,1.0,3.333333333333333,2.0,3.6666666666666665,7,3.0,0.0,1.9666666666666668
