,player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
9473,255,Bailly,2016/17,33,5,1,1.3529411764705883,1.2941176470588236,0.7058823529411765,1.3529411764705883,6.0,5.333333333333333,6,5.2,2.1666666666666665
10199,275,Ayala,2016/17,33,19,6,0.9375,2.0,1.25,1.6875,6.0,2.333333333333333,1,2.0,5.033333333333333
10236,276,Friend,2016/17,33,19,6,0.9375,2.0,1.25,1.6875,0.0,0.6666666666666666,1,1.8,3.0000000000000013
10310,278,Gibson,2016/17,33,19,6,0.9375,2.0,1.25,1.6875,8.0,4.0,1,4.2,5.133333333333333
10973,296,Bertrand,2016/17,33,9,4,1.4666666666666666,2.117647058823529,2.2666666666666666,1.4705882352941178,6.0,4.333333333333333,1,3.6,2.9333333333333336
11011,297,Fonte,2016/17,33,13,20,0.8823529411764706,1.2352941176470589,1.9411764705882355,0.8823529411764706,6.0,2.6666666666666665,1,1.8,2.7666666666666675
11047,298,Yoshida,2016/17,33,9,4,1.4666666666666666,2.117647058823529,2.2666666666666666,1.4705882352941178,9.0,7.0,1,5.8,6.666666666666669
11155,301,Cédric,2016/17,33,9,4,1.4666666666666666,2.117647058823529,2.2666666666666666,1.4705882352941178,5.0,3.0,0,3.2,4.800000000000002
11771,318,Shawcross,2016/17,33,11,17,1.3529411764705883,0.9411764705882352,1.4705882352941178,2.0588235294117645,1.0,1.6666666666666667,2,1.2,2.5000000000000018
11845,320,Cameron,2016/17,33,11,17,1.3529411764705883,0.9411764705882352,1.4705882352941178,2.0588235294117645,1.0,1.6666666666666667,2,2.2,2.966666666666665
11882,321,Pieters,2016/17,33,11,17,1.3529411764705883,0.9411764705882352,1.4705882352941178,2.0588235294117645,1.0,1.6666666666666667,2,1.2,2.233333333333331
11919,322,Muniesa,2016/17,33,11,17,1.3529411764705883,0.9411764705882352,1.4705882352941178,2.0588235294117645,2.0,1.6666666666666667,2,4.0,1.8333333333333328
12030,325,Johnson,2016/17,33,11,17,1.3529411764705883,0.9411764705882352,1.4705882352941178,2.0588235294117645,1.0,1.3333333333333333,2,2.2,2.566666666666666
12659,342,O'Shea,2016/17,33,20,13,1.2352941176470589,0.8823529411764706,0.8823529411764706,1.9411764705882355,2.0,3.333333333333333,1,2.2,4.3
12696,343,Jones,2016/17,33,20,13,1.2352941176470589,0.8823529411764706,0.8823529411764706,1.9411764705882355,1.0,1.0,1,1.8,3.833333333333332
12733,344,van Aanholt,2016/17,33,15,12,1.25,0.9375,1.75,2.0,6.0,7.333333333333332,1,4.8,4.0
12807,346,Koné,2016/17,33,20,13,1.2352941176470589,0.8823529411764706,0.8823529411764706,1.9411764705882355,1.0,1.0,1,1.0,1.4999999999999991
13254,358,Naughton,2016/17,33,18,10,0.8823529411764706,1.4705882352941178,2.0588235294117645,0.6470588235294118,2.0,3.333333333333333,2,3.6,3.3000000000000007
13292,359,Williams,2016/17,33,7,14,2.3529411764705883,0.5882352941176471,2.117647058823529,1.3529411764705883,2.0,4.333333333333333,7,4.8,7.3333333333333375
13444,363,Fernández,2016/17,33,18,10,0.8823529411764706,1.4705882352941178,2.0588235294117645,0.6470588235294118,1.0,1.3333333333333333,2,2.2,2.8666666666666667
14163,382,Alderweireld,2016/17,33,2,16,2.5294117647058822,1.1764705882352942,1.0588235294117647,1.9411764705882355,6.0,4.666666666666667,6,4.6,2.1333333333333324
14237,384,Walker,2016/17,33,2,16,2.5294117647058822,1.1764705882352942,1.0588235294117647,1.9411764705882355,2.0,3.0,6,3.2,2.966666666666667
14274,385,Vertonghen,2016/17,33,2,16,2.5294117647058822,1.1764705882352942,1.0588235294117647,1.9411764705882355,6.0,5.0,7,4.8,3.1333333333333333
