,player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
2513,68,Gray,2016/17,22,13,2,0.4,2.090909090909091,1.2,1.181818181818182,2.0,3.6666666666666665,8,7.0,3.6666666666666656
2589,70,Barnes,2016/17,22,13,2,0.4,2.090909090909091,1.2,1.181818181818182,2.0,2.6666666666666665,4,4.2,3.9333333333333336
3554,96,Batshuayi,2016/17,22,1,19,1.9090909090909087,1.181818181818182,1.0,1.8181818181818181,1.0,1.0,1,1.0,0.13333333333333386
3591,97,Costa,2016/17,22,1,19,1.9090909090909087,1.181818181818182,1.0,1.8181818181818181,2.0,4.666666666666667,6,4.4,9.666666666666666
3628,98,Remy,2016/17,22,18,7,1.181818181818182,1.2727272727272727,2.0,1.9090909090909087,1.0,0.0,2,0.0,0.0
5307,143,Lukaku,2016/17,22,7,18,1.2727272727272727,1.181818181818182,1.9090909090909087,2.0,5.0,6.0,2,5.6,8.466666666666667
5383,145,Niasse,2016/17,22,19,1,1.181818181818182,1.9090909090909087,1.8181818181818181,1.0,1.0,0.0,1,0.0,0.0
6066,163,Hernández,2016/17,22,19,1,1.181818181818182,1.9090909090909087,1.8181818181818181,1.0,13.0,5.333333333333333,2,3.8,6.3
6104,164,Diomande,2016/17,22,19,1,1.181818181818182,1.9090909090909087,1.8181818181818181,1.0,2.0,1.6666666666666667,1,1.6,2.5
6845,184,Vardy,2016/17,22,15,11,0.7272727272727273,1.4545454545454546,1.9090909090909087,2.272727272727273,2.0,0.6666666666666666,2,4.2,2.3000000000000007
6919,186,Okazaki,2016/17,22,15,11,0.7272727272727273,1.4545454545454546,1.9090909090909087,2.272727272727273,1.0,1.6666666666666667,2,1.4,0.5000000000000003
6956,187,Musa,2016/17,22,15,11,0.7272727272727273,1.4545454545454546,1.9090909090909087,2.272727272727273,2.0,1.3333333333333333,1,1.2,1.7666666666666668
7941,213,Christian Benteke,2016/17,22,18,7,1.181818181818182,1.2727272727272727,2.0,1.9090909090909087,2.0,1.6666666666666667,2,1.2,2.933333333333336
7978,214,Sturridge,2016/17,22,4,17,2.8,1.0909090909090908,0.8,2.1818181818181817,6.0,4.333333333333333,1,3.6,8.133333333333333
8092,217,Origi,2016/17,22,4,17,2.8,1.0909090909090908,0.8,2.1818181818181817,2.0,1.3333333333333333,1,2.0,2.2999999999999994
8886,239,Agüero,2016/17,22,5,3,1.9090909090909087,1.8181818181818181,1.2727272727272727,0.9090909090909092,2.0,3.6666666666666665,2,2.4,6.7
9971,269,Rooney,2016/17,22,6,9,1.4545454545454546,1.2727272727272727,1.0909090909090908,1.7272727272727273,1.0,4.666666666666667,8,3.4,6.2333333333333325
10043,271,Rashford,2016/17,22,6,9,1.4545454545454546,1.2727272727272727,1.0909090909090908,1.7272727272727273,4.0,3.0,4,2.0,5.199999999999998
10079,272,Ibrahimovic,2016/17,22,6,9,1.4545454545454546,1.2727272727272727,1.0909090909090908,1.7272727272727273,7.0,5.666666666666668,2,7.4,9.100000000000003
10855,293,Stuani,2016/17,22,16,10,1.0909090909090908,0.5454545454545454,1.2727272727272727,2.0,2.0,3.333333333333333,6,2.6,5.6000000000000005
11578,313,Long,2016/17,22,11,15,1.4545454545454546,0.7272727272727273,2.272727272727273,1.9090909090909087,2.0,2.333333333333333,4,2.8,2.6
12427,336,Crouch,2016/17,22,9,6,1.2727272727272727,1.4545454545454546,1.7272727272727273,1.0909090909090908,11.0,6.333333333333332,2,6.2,10.966666666666667
13093,354,Borini,2016/17,22,20,8,1.2727272727272727,1.3333333333333333,1.6363636363636365,1.9166666666666667,2.0,1.6666666666666667,1,2.6,3.7000000000000006
13130,355,Defoe,2016/17,22,20,8,1.2727272727272727,1.3333333333333333,1.6363636363636365,1.9166666666666667,6.0,7.0,2,6.0,9.7
14932,403,Kane,2016/17,22,3,5,1.8181818181818181,1.9090909090909087,0.9090909090909092,1.2727272727272727,17.0,8.0,5,8.8,11.199999999999998
