assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,602,0,0,240,0,0,0,0.0,13565,0.0,0,2018-01-20T15:00:00Z,20 Jan 15:00,0,0,0,0,0,20,0,0,0,0,0,0,24,0,0,0,0,0,1,1,0.0,0,0,0,0,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,602,0,0,244,0,0,0,0.0,14168,0.0,0,2018-01-31T19:45:00Z,31 Jan 19:45,0,0,0,0,0,5,0,0,0,0,0,0,25,0,89,0,0,0,3,0,0.0,0,48,72,24,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,602,0,0,252,0,0,0,0.0,14781,0.0,0,2018-02-03T15:00:00Z,03 Feb 15:00,0,0,0,0,0,15,0,0,0,0,0,0,26,0,129,0,0,0,1,2,0.0,0,17,40,23,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,602,0,0,263,0,0,0,0.0,15406,0.0,0,2018-02-11T12:00:00Z,11 Feb 12:00,0,0,0,0,0,8,0,0,0,0,0,0,27,0,176,0,0,0,1,4,0.0,0,11,39,28,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,602,0,0,272,0,0,0,0.0,16033,0.0,0,2018-02-24T15:00:00Z,24 Feb 15:00,0,0,0,0,0,13,0,0,0,0,0,0,28,0,222,0,0,0,2,2,0.0,0,7,44,37,45,True,0,0
