assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,11,0,0,0,2,0,0,9,2.3,2,0,607,0,0,248,1,0,0,1.1,14173,1.8,0,2018-01-31T19:45:00Z,31 Jan 19:45,0,0,45,0,0,3,0,0,0,0,0,0,25,0,7158,1,0,1,1,1,7.0,1,7042,7881,839,65,True,0,0
0,20,0,0,0,1,0,1,12,4.8,0,0,607,0,0,260,2,2,0,3.1,14786,0.0,0,2018-02-03T15:00:00Z,03 Feb 15:00,0,0,74,1,0,19,0,0,0,0,1,0,26,0,7133,0,0,2,3,2,27.0,2,-92,2069,2161,65,False,0,0
0,21,0,0,0,6,0,0,14,4.0,1,0,607,0,0,266,0,2,0,3.8,15411,8.6,0,2018-02-11T16:30:00Z,11 Feb 16:30,0,0,90,0,0,10,0,0,0,0,4,0,27,0,6804,2,0,0,2,0,25.0,2,-398,1537,1935,65,True,0,0
1,29,0,0,0,18,0,3,20,32.3,0,0,607,0,0,274,2,1,0,10.1,16038,31.2,3,2018-02-24T15:00:00Z,24 Feb 15:00,0,0,90,0,0,4,0,0,0,0,5,0,28,0,6568,0,0,0,1,1,37.0,5,-332,1332,1664,65,False,0,0
