assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,588,0,0,212,0,0,0,0.0,12362,0.0,0,2018-01-01T12:30:00Z,01 Jan 12:30,0,0,0,0,0,3,0,0,0,0,0,0,22,0,0,0,0,0,2,2,0.0,0,0,0,0,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,588,0,0,221,0,0,0,0.0,12953,0.0,0,2018-01-14T13:30:00Z,14 Jan 13:30,0,0,0,0,0,1,0,0,0,0,0,0,23,0,56,0,0,0,1,2,0.0,0,19,46,27,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,588,0,0,240,0,0,0,0.0,13551,0.0,0,2018-01-20T15:00:00Z,20 Jan 15:00,0,0,0,0,0,20,0,0,0,0,0,0,24,0,90,0,0,0,1,1,0.0,0,11,34,23,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,588,0,0,244,0,0,0,0.0,14154,0.0,0,2018-01-31T19:45:00Z,31 Jan 19:45,0,0,0,0,0,5,0,0,0,0,0,0,25,0,117,0,0,0,3,0,0.0,0,0,22,22,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,588,0,0,252,0,0,0,0.0,14767,0.0,0,2018-02-03T15:00:00Z,03 Feb 15:00,0,0,0,0,0,15,0,0,0,0,0,0,26,0,138,0,0,0,1,2,0.0,0,11,20,9,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,588,0,0,263,0,0,0,0.0,15392,0.0,0,2018-02-11T12:00:00Z,11 Feb 12:00,0,0,0,0,0,8,0,0,0,0,0,0,27,0,140,0,0,0,1,4,0.0,0,-8,10,18,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,588,0,0,272,0,0,0,0.0,16019,0.0,0,2018-02-24T15:00:00Z,24 Feb 15:00,0,0,0,0,0,13,0,0,0,0,0,0,28,0,151,0,0,0,2,2,0.0,0,-4,14,18,45,True,0,0
