assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,1,0,1,0,-1,0,0,1,1.3,0,0,603,0,0,237,0,0,0,0.3,13566,0.0,0,2018-01-21T16:00:00Z,21 Jan 16:00,0,0,8,0,0,17,0,0,0,0,0,0,24,0,0,0,0,1,1,1,4.0,1,0,0,0,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,603,0,0,248,0,0,0,0.0,14169,0.0,0,2018-01-31T19:45:00Z,31 Jan 19:45,0,0,0,0,0,3,0,0,0,0,0,0,25,0,16704,0,0,0,1,1,0.0,0,15292,19908,4616,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,603,0,0,260,0,0,0,0.0,14782,0.0,0,2018-02-03T15:00:00Z,03 Feb 15:00,0,0,0,0,0,19,0,0,0,0,0,0,26,0,26392,0,0,0,3,2,0.0,0,8978,13323,4345,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,603,0,0,266,0,0,0,0.0,15407,0.0,0,2018-02-11T16:30:00Z,11 Feb 16:30,0,0,0,0,0,10,0,0,0,0,0,0,27,0,38767,0,0,0,2,0,0.0,0,10894,17540,6646,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,603,0,0,274,0,0,0,0.0,16034,0.0,0,2018-02-24T15:00:00Z,24 Feb 15:00,0,0,0,0,0,4,0,0,0,0,0,0,28,0,44736,0,0,0,1,1,0.0,0,4447,12268,7821,45,False,0,0
