assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,224,0,0,0,0.0,12962,0.0,0,2018-01-13T15:00:00Z,13 Jan 15:00,0,0,0,0,0,8,0,0,0,0,0,0,23,0,0,0,0,0,4,1,0.0,0,0,0,0,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,240,0,0,0,0.0,13560,0.0,0,2018-01-20T15:00:00Z,20 Jan 15:00,0,0,0,0,0,2,0,0,0,0,0,0,24,0,140,0,0,0,1,1,0.0,0,91,133,42,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,243,0,0,0,0.0,14163,0.0,0,2018-01-30T19:45:00Z,30 Jan 19:45,0,0,0,0,0,6,0,0,0,0,0,0,25,0,261,0,0,0,1,1,0.0,0,61,107,46,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,253,0,0,0,0.0,14776,0.0,0,2018-02-03T15:00:00Z,03 Feb 15:00,0,0,0,0,0,3,0,0,0,0,0,0,26,0,352,0,0,0,1,3,0.0,0,63,104,41,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,270,0,0,0,0.0,15401,0.0,0,2018-02-10T15:00:00Z,10 Feb 15:00,0,0,0,0,0,18,0,0,0,0,0,0,27,0,433,0,0,0,0,2,0.0,0,47,105,58,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,277,0,0,0,0.0,16028,0.0,0,2018-02-24T15:00:00Z,24 Feb 15:00,0,0,0,0,0,10,0,0,0,0,0,0,28,0,570,0,0,0,1,4,0.0,0,69,127,58,45,False,0,0
