assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,24,0,0,0,14,0,2,20,19.8,1,0,594,0,0,226,1,3,0,3.7,12959,15.0,1,2018-01-15T20:00:00Z,15 Jan 20:00,0,0,90,0,2,12,0,0,0,0,5,0,23,0,57,1,2,0,0,3,2.0,1,54,59,5,45,False,0,0
0,22,0,0,0,23,1,4,10,24.4,0,0,594,0,0,238,2,0,0,3.6,13557,11.8,2,2018-01-20T15:00:00Z,20 Jan 15:00,0,0,90,0,1,8,0,0,0,0,4,0,24,0,2477,0,2,0,0,2,0.0,5,2370,2576,206,45,True,0,1
0,18,0,0,0,21,1,7,11,4.6,0,0,594,0,0,249,3,0,0,3.8,14160,15.0,0,2018-01-31T20:00:00Z,31 Jan 20:00,0,0,90,0,1,18,0,0,0,0,3,0,25,0,16197,0,2,0,0,0,18.0,5,13524,15018,1494,45,True,0,1
0,22,0,0,0,14,0,5,15,38.8,1,0,594,0,0,252,0,2,0,7.1,14773,31.8,3,2018-02-03T15:00:00Z,03 Feb 15:00,0,0,90,0,2,2,0,0,0,0,7,0,26,0,23449,4,1,0,1,2,0.0,1,7157,8276,1119,45,False,0,0
0,29,0,0,0,12,0,1,23,16.3,3,0,594,0,0,267,0,1,0,2.9,15398,12.2,1,2018-02-10T15:00:00Z,10 Feb 15:00,0,0,90,0,1,3,0,0,0,0,2,0,27,0,45572,1,1,0,1,1,0.0,2,21785,23043,1258,45,True,0,0
0,20,0,0,0,9,0,7,10,0.6,0,0,594,0,0,276,1,1,0,1.5,16025,10.8,0,2018-02-24T12:30:00Z,24 Feb 12:30,0,0,90,0,0,9,0,0,0,0,3,0,28,0,43409,0,0,0,1,1,4.0,2,-2289,1827,4116,45,False,0,0
