assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
3,1,276,100,100,6,153133,0,0,-4,4,404.7,0,0,3,3.0,1.5,0,Alex,2.0,15,2,112.5,21,False,278.6,0,0,0,0,1110,,2017-11-29T20:01:14Z,51,0,0,0,153133.jpg,3.3,0,0,Iwobi,0.8,False,17,a,1,3,443.0,56,90804,233,198459,601,0.4,11.0,Iwobi,1
1,0,89,None,None,1,153256,0,0,-3,3,106.6,0,0,3,1.5,0.0,0,Mohamed,0.5,8,0,23.5,22,False,82.0,0,0,0,0,476,,None,42,0,0,0,153256.jpg,1.9,0,0,Elneny,3.4,False,35,a,1,3,47.0,15,279647,1300,300421,1314,0.1,3.6,Elneny,2
5,2,421,100,100,9,84450,0,0,-3,3,587.0,1,0,3,2.5,1.0,0,Granit,1.5,35,1,138.2,23,False,490.4,0,0,0,0,2345,,2018-01-05T10:01:18Z,52,0,0,0,84450.jpg,3.0,0,0,Xhaka,6.8,False,29,a,1,3,306.0,80,920267,868,1037182,1742,0.3,15.4,Xhaka,5
2,2,181,100,100,2,54102,0,0,-2,2,195.2,0,0,3,1.8,0.3,0,Jack,0.8,13,1,54.7,24,False,200.0,0,0,0,0,911,,2018-02-03T16:31:18Z,53,0,0,0,54102.jpg,2.3,0,0,Wilshere,1.0,False,10,a,1,3,151.0,35,138550,509,97963,610,0.2,6.6,Wilshere,4
1,3,148,100,100,3,50175,0,0,-2,2,142.2,1,0,4,1.3,-0.2,0,Danny,0.3,12,3,57.9,26,False,170.2,0,0,0,0,704,,2018-02-10T12:31:19Z,73,0,0,0,50175.jpg,2.4,0,0,Welbeck,0.7,False,23,a,1,3,265.0,41,160453,109,200119,104,0.0,5.6,Welbeck,1
0,0,0,0,0,0,155851,0,0,-1,1,0.0,0,0,4,0.0,0.0,0,Lucas,0.0,0,0,0.0,27,False,0.0,0,0,0,0,0,Joined Deportivo La Coruna on loan for the season,2017-08-31T18:31:14Z,74,0,0,0,155851.jpg,0.0,0,0,Pérez,0.1,False,28,u,1,3,0.0,0,519,1,9048,11,0.0,0.0,Pérez,0
4,5,369,0,0,8,59966,0,0,-3,3,431.7,1,0,4,0.0,0.0,0,Alexandre,0.8,24,9,200.0,28,False,504.4,0,0,0,0,1808,Knee injury - Expected back 31 Mar,2018-02-13T14:31:18Z,102,0,0,0,59966.jpg,3.8,0,0,Lacazette,6.4,False,9,i,1,3,1066.0,99,1220171,9,1760282,2214,0.1,9.7,Lacazette,1
8,6,288,None,None,9,57249,0,0,-2,2,499.6,2,0,3,5.0,3.5,0,Henrikh,4.0,8,1,102.4,281,False,323.8,0,0,0,0,1104,,None,78,0,0,0,57249.jpg,4.1,0,0,Mkhitaryan,12.2,False,7,a,1,3,198.0,73,2069151,5641,1932519,7256,0.5,9.4,Mkhitaryan,2
0,0,56,100,100,0,101184,0,0,-3,3,16.1,0,0,2,1.0,-0.5,0,Calum,0.0,6,0,14.0,480,False,93.0,0,0,0,0,340,,2017-09-20T21:31:15Z,47,0,0,0,101184.jpg,1.3,0,0,Chambers,0.2,False,21,a,1,3,30.0,5,9321,47,24795,32,0.0,1.1,Chambers,1
0,0,1,None,None,0,200641,0,0,-3,3,3.7,0,0,3,1.0,-0.5,0,Reiss,0.0,1,0,1.3,489,False,6.8,0,0,0,0,18,,None,47,0,0,0,200641.jpg,1.0,0,0,Nelson,0.0,False,61,a,1,3,2.0,1,1490,6,3166,7,0.0,0.2,Nelson,0
0,0,92,100,100,2,154043,0,0,0,0,76.0,0,0,3,1.0,-0.5,0,Ainsley,0.0,10,0,20.5,546,False,97.6,0,0,0,0,563,,2018-01-18T10:31:17Z,45,0,0,0,154043.jpg,1.8,0,0,Maitland-Niles,0.1,False,30,a,1,3,31.0,16,13793,32,9429,95,0.0,3.6,Maitland-Niles,0
0,0,0,None,None,0,113534,0,0,0,0,0.0,0,0,1,1.0,-0.5,0,Matt,0.0,0,0,0.0,559,False,0.0,0,0,0,0,0,,None,50,0,0,0,113534.jpg,0.0,0,0,Macey,0.0,False,54,a,1,3,0.0,0,418,2,425,2,0.0,0.0,Macey,0
0,0,0,None,None,0,205533,0,0,0,0,0.0,0,0,4,1.0,-0.5,0,Edward,0.0,0,0,0.0,560,False,0.0,0,0,0,0,0,,None,50,0,0,0,205533.jpg,0.0,0,0,Nketiah,0.0,False,62,a,1,3,0.0,0,3539,37,2908,34,0.0,0.0,Nketiah,0
0,0,0,0,0,0,27334,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Mathieu,0.0,0,0,0.0,564,False,0.0,0,0,0,0,0,Transferred to Saint-Etienne,2018-01-31T19:14:43Z,45,0,0,0,27334.jpg,0.0,0,0,Debuchy,0.0,False,2,u,1,3,0.0,0,1471,0,1549,12,0.0,0.0,Debuchy,0
