,player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
5148,295,Ritchie,2017/2018,34,10,6,1.058823529,1.0625,0.9411764706,1.625,1,4,8,4.2,5.166666667
5173,296,Shelvey,2017/2018,34,10,6,1.058823529,1.0625,0.9411764706,1.625,8,4.333333333,2,5.2,5.733333333
5199,298,Diamé,2017/2018,34,10,6,1.058823529,1.0625,0.9411764706,1.625,3,2.666666667,2,2.6,2.133333333
5504,317,Ward-Prowse,2017/2018,34,18,5,1.058823529,1.8125,1.411764706,1.125,2,2.666666667,4,2.4,5.533333333
5535,318,Tadic,2017/2018,34,18,5,1.058823529,1.8125,1.411764706,1.125,2,4,9,3.2,8.3
5564,320,Romeu Vidal,2017/2018,34,18,5,1.058823529,1.8125,1.411764706,1.125,2,2,1,1.8,2.7
5582,321,Højbjerg,2017/2018,34,18,5,1.058823529,1.8125,1.411764706,1.125,2,1.666666667,1,1.8,5.466666667
5614,323,Sims,2017/2018,34,18,5,1.058823529,1.8125,1.411764706,1.125,1,1,1,1.4,3.6
6301,363,Ki,2017/2018,34,17,9,1,0.7647058824,1.25,1.941176471,1,1.333333333,2,4,1.033333333
6342,366,Dyer,2017/2018,34,17,9,1,0.7647058824,1.25,1.941176471,1,1,1,1,0.6
6374,367,Carroll,2017/2018,34,17,9,1,0.7647058824,1.25,1.941176471,2,3.666666667,8,2.6,5.933333333
6390,369,Narsingh,2017/2018,34,17,9,1,0.7647058824,1.25,1.941176471,1,1,1,2.6,2.433333333
6686,384,Dier,2017/2018,34,4,1,2.066666667,2.352941176,0.7333333333,0.7058823529,1,3.333333333,2,3.2,2.9
6712,385,Dembélé,2017/2018,34,4,1,2.066666667,2.352941176,0.7333333333,0.7058823529,2,1.666666667,1,2,2.5
6731,386,Lamela,2017/2018,34,4,1,2.066666667,2.352941176,0.7333333333,0.7058823529,1,1.666666667,2,1.4,2.966666667
6762,387,Eriksen,2017/2018,34,4,1,2.066666667,2.352941176,0.7333333333,0.7058823529,15,10.33333333,7,7.8,13.4
6793,388,Alli,2017/2018,34,4,1,2.066666667,2.352941176,0.7333333333,0.7058823529,6,7.666666667,2,7.8,8.5
6836,390,Son,2017/2018,34,4,1,2.066666667,2.352941176,0.7333333333,0.7058823529,2,2.666666667,1,7.8,4.366666667
6887,393,Sissoko,2017/2018,34,4,1,2.066666667,2.352941176,0.7333333333,0.7058823529,1,1,1,1,1
7137,409,Capoue,2017/2018,34,12,14,1,0.9411764706,1.764705882,1.294117647,2,2,2,2,2.533333333
7173,414,Doucouré,2017/2018,34,12,14,1,0.9411764706,1.764705882,1.294117647,1,1.333333333,2,1.6,4.666666667
7202,415,Pereyra,2017/2018,34,12,14,1,0.9411764706,1.764705882,1.294117647,9,6,1,4.4,8.7
7213,416,Hughes,2017/2018,34,12,14,1,0.9411764706,1.764705882,1.294117647,2,4,3,2.8,6.533333333
7400,426,Livermore,2017/2018,34,20,2,0.5294117647,2.058823529,1.470588235,0.4705882353,2,2.333333333,3,1.8,3.333333333
7423,429,Yacob,2017/2018,34,20,2,0.5294117647,2.058823529,1.470588235,0.4705882353,1,1.333333333,1,1.4,1.166666667
7449,430,McClean,2017/2018,34,20,2,0.5294117647,2.058823529,1.470588235,0.4705882353,1,1.666666667,3,1.4,4.766666667
7476,432,Phillips,2017/2018,34,20,2,0.5294117647,2.058823529,1.470588235,0.4705882353,1,1.666666667,3,1.6,2.8
7508,434,Brunt,2017/2018,34,20,2,0.5294117647,2.058823529,1.470588235,0.4705882353,1,2,3,2,2.866666667
7775,449,Ayew,2017/2018,34,17,9,1,0.7647058824,1.25,1.941176471,2,2,2,3.4,3.866666667
8192,478,Murphy,2017/2018,34,10,6,1.058823529,1.0625,0.9411764706,1.625,2,1.333333333,1,3.8,1.766666667
8518,501,de Andrade,2017/2018,34,12,14,1,0.9411764706,1.764705882,1.294117647,1,1,1,1.4,0.4333333333
8608,517,Izquierdo Mena,2017/2018,34,13,16,0.5625,1.294117647,1.375,1.588235294,2,3.666666667,7,3,7.5
8811,533,Krychowiak,2017/2018,34,20,2,0.5294117647,2.058823529,1.470588235,0.4705882353,1,1,1,1.4,1.033333333
8875,539,Vlasic,2017/2018,34,9,17,0.7647058824,1,1.941176471,1.25,1,1.333333333,1,1.2,3.033333333
8928,546,Maitland-Niles,2017/2018,34,6,10,1.0625,1.058823529,1.625,0.9411764706,3,1.666666667,1,1.8,1.566666667
8971,563,Baningime,2017/2018,34,9,17,0.7647058824,1,1.941176471,1.25,1,0.6666666667,0,0.8,0.2333333333
8976,571,Choudhury,2017/2018,34,8,7,1.588235294,0.875,1.647058824,0.8125,1,1.333333333,2,0,1.2
8991,589,Perruchet Silva,2017/2018,34,8,7,1.588235294,0.875,1.647058824,0.8125,2,1.333333333,2,1.4,3.4
9021,593,Pritchard,2017/2018,34,14,12,0.9411764706,1,1.294117647,1.764705882,2,2,2,2.2,4.366666667
9091,617,Rodrigues Moura da Silva,2017/2018,34,4,1,2.066666667,2.352941176,0.7333333333,0.7058823529,1,1,1,0,1.9
9119,634,Willock,2017/2018,34,6,10,1.0625,1.058823529,1.625,0.9411764706,0,0,2,0,0
