,round,team_rank,opponent_team_rank,opp_pot,save_form,concede_pot,prev_points,form_points,total_points,Predicted,Prediction_Error
10883,1,10,7,1.0,1.0,2.5714285714285716,6.0,4.333333333333333,6,4.1,1.9000000000000004
1977,2,14,15,0.8888888888888888,5.0,1.2,3.0,8.0,9,9.5,0.5
6142,2,15,11,1.4545454545454546,1.6666666666666667,1.9090909090909087,1.0,3.0,2,4.5,2.5
4822,2,18,13,1.0,6.333333333333332,1.8181818181818181,2.0,3.0,3,3.1,0.10000000000000009
7017,1,4,7,1.25,1.0,0.3333333333333333,2.0,3.333333333333333,6,4.5,1.5
2692,1,2,7,1.1666666666666667,2.0,0.8333333333333334,6.0,6.333333333333332,6,6.4,0.40000000000000036
1796,1,20,3,1.3333333333333333,1.0,2.1666666666666665,1.0,1.6666666666666667,2,2.2,0.20000000000000018
3816,1,2,11,0.8,2.333333333333333,1.8,9.0,5.333333333333333,1,4.5,3.5
14065,1,3,12,1.25,3.333333333333333,0.5,9.0,4.666666666666667,3,3.8,0.7999999999999998
2,1,11,14,1.0,0.0,1.0,1.0,0.0,3,2.1,0.8999999999999999
6973,1,11,8,1.0,0.0,2.5,7.0,0.0,1,-0.9,1.9
6141,2,15,1,1.181818181818182,2.0,1.4545454545454546,6.0,5.0,1,4.2,3.2
6800,2,7,4,2.636363636363636,2.333333333333333,1.3636363636363635,6.0,3.0,2,1.8,0.19999999999999996
2689,1,5,13,0.75,1.6666666666666667,1.25,7.0,4.666666666666667,6,5.0,1.0
8988,2,6,5,1.25,3.333333333333333,0.75,2.0,4.0,8,4.3,3.7
3492,1,1,11,1.0,2.0,0.3333333333333333,2.0,3.333333333333333,6,4.6,1.4000000000000004
10880,1,9,4,0.6,2.333333333333333,2.2,1.0,1.6666666666666667,2,1.7,0.30000000000000004
3710,3,16,9,1.3571428571428572,5.333333333333333,1.6875,5.0,4.666666666666667,2,4.1,2.0999999999999996
2422,1,10,13,1.1666666666666667,3.0,1.8333333333333333,8.0,5.333333333333333,0,4.9,4.9
2100,3,10,6,2.769230769230769,2.0,2.1538461538461537,2.0,1.6666666666666667,0,1.6,1.6
1966,1,14,3,2.0,3.0,1.0,7.0,3.6666666666666665,2,2.2,0.20000000000000018
4563,3,7,11,0.8666666666666667,2.0,2.1875,1.0,1.0,1,1.9,0.8999999999999999
15092,3,13,3,1.6111111111111112,4.0,0.6666666666666666,1.0,4.666666666666667,4,5.1,1.0999999999999996
5855,1,9,15,1.3333333333333333,2.333333333333333,1.6666666666666667,2.0,1.3333333333333333,1,2.4,1.4
824,3,12,18,0.7142857142857143,1.0,1.4285714285714286,8.0,4.0,2,5.0,3.0
8984,1,6,19,0.8333333333333334,1.0,1.3333333333333333,6.0,2.6666666666666665,2,3.9,1.9
6801,2,7,12,1.25,1.6666666666666667,1.9166666666666667,2.0,3.333333333333333,2,4.6,2.5999999999999996
10886,2,9,12,1.125,1.6666666666666667,1.75,6.0,4.666666666666667,7,5.1,1.9000000000000004
5123,2,20,4,1.9,4.0,1.6,3.0,4.333333333333333,1,4.0,3.0
6148,3,15,12,1.2666666666666666,4.333333333333333,1.8571428571428568,3.0,3.0,2,3.3,1.2999999999999998
5131,3,18,12,1.3571428571428572,1.6666666666666667,1.6428571428571428,6.0,3.0,0,3.4,3.4
2771,1,14,15,0.8,2.333333333333333,1.6,2.0,5.0,3,7.0,4.0
1969,1,14,8,1.6,9.666666666666666,1.0,4.0,6.666666666666668,11,5.2,5.8
8178,3,4,16,1.4444444444444444,2.0,1.1875,2.0,3.0,6,4.8,1.2000000000000002
20047,1,3,16,1.3333333333333333,1.3333333333333333,1.0,2.0,3.333333333333333,2,5.3,3.3
1992,3,14,7,2.3529411764705883,3.333333333333333,1.3529411764705883,7.0,5.0,2,4.2,2.2
4580,1,7,2,1.6666666666666667,4.0,1.5,1.0,6.333333333333332,1,6.4,5.4
15081,2,13,3,2.0,2.6666666666666665,1.75,2.0,3.6666666666666665,3,3.6,0.6000000000000001
7021,1,2,11,1.3333333333333333,3.6666666666666665,1.4285714285714286,4.0,4.0,6,4.0,2.0
2417,1,11,3,3.0,2.0,1.25,7.0,3.333333333333333,1,1.9,0.8999999999999999
6152,3,12,15,1.25,3.0,2.0,1.0,3.0,1,4.6,3.5999999999999996
814,2,13,6,1.8888888888888888,5.0,1.3333333333333333,2.0,5.0,11,4.9,6.1
6976,1,6,5,0.3333333333333333,2.6666666666666665,1.5,2.0,2.6666666666666665,3,2.8,0.20000000000000018
15087,3,12,20,1.2857142857142858,3.333333333333333,0.7333333333333333,2.0,3.6666666666666665,7,6.0,1.0
13151,1,17,1,3.0,3.6666666666666665,2.0,3.0,2.0,1,0.6,0.4
4462,1,13,4,2.0,4.333333333333333,1.3333333333333333,11.0,5.0,1,2.2,1.2000000000000002
70,3,5,14,1.263157894736842,5.333333333333333,1.6666666666666667,8.0,5.0,3,4.0,1.0
4455,2,18,15,0.4615384615384616,1.3333333333333333,1.3571428571428572,2.0,1.3333333333333333,2,3.2,1.2000000000000002
15083,2,13,6,1.4615384615384617,6.0,1.7692307692307692,3.0,3.333333333333333,4,2.3,1.7000000000000002
2714,3,1,9,1.2941176470588236,2.6666666666666665,1.125,2.0,2.333333333333333,1,2.8,1.7999999999999998
10887,2,7,10,2.0,2.6666666666666665,1.6666666666666667,7.0,5.333333333333333,3,4.9,1.9000000000000004
21178,1,19,10,1.3333333333333333,0.0,3.0,0.0,0.0,2,1.4,0.6000000000000001
1971,1,12,9,0.8333333333333334,5.333333333333333,0.8,2.0,4.333333333333333,0,4.6,4.6
1030,2,9,5,2.3,2.6666666666666665,1.2,8.0,3.0,0,1.3,1.3
15910,1,7,19,0.0,0.0,1.0,0.0,0.0,10,3.0,7.0
8982,1,7,4,1.8,3.333333333333333,1.4,8.0,3.6666666666666665,0,1.7,1.7
7456,3,10,9,0.6428571428571429,2.333333333333333,1.8571428571428568,1.0,3.333333333333333,7,4.5,2.5
5484,1,3,9,1.6,3.0,0.8,6.0,5.333333333333333,4,5.1,1.0999999999999996
13177,3,18,14,1.25,3.6666666666666665,2.125,2.0,3.6666666666666665,3,4.9,1.9000000000000004
6974,1,11,7,1.0,1.6666666666666667,2.0,1.0,3.6666666666666665,3,4.7,1.7000000000000002
1431,2,3,9,1.7,1.3333333333333333,0.7,6.0,4.666666666666667,6,4.9,1.0999999999999996
4187,1,4,13,0.6666666666666666,3.0,1.0,8.0,6.0,3,5.9,2.9000000000000004
27,3,6,4,2.1333333333333333,0.0,1.2142857142857142,0.0,0.0,2,0.9,1.1
6150,3,11,20,1.2,3.333333333333333,1.3125,6.0,5.0,7,6.2,0.7999999999999998
3155,3,3,13,1.2857142857142858,3.6666666666666665,0.7142857142857143,8.0,6.666666666666668,3,6.6,3.5999999999999996
6151,3,11,7,2.3125,3.0,2.0,7.0,4.666666666666667,1,3.6,2.6
15919,1,16,1,2.6,5.0,2.8,2.0,2.333333333333333,1,0.7,0.30000000000000004
10147,2,14,19,0.7777777777777778,1.3333333333333333,1.5555555555555556,1.0,3.0,6,5.8,0.20000000000000018
5483,1,3,19,0.25,1.6666666666666667,0.75,6.0,4.333333333333333,6,5.8,0.20000000000000018
2087,1,16,10,1.25,2.333333333333333,2.2857142857142856,2.0,1.0,0,1.4,1.4
3132,1,5,17,1.6666666666666667,4.333333333333333,3.333333333333333,2.0,3.333333333333333,6,3.8,2.2
7001,3,3,7,1.2,1.6666666666666667,0.8,2.0,2.333333333333333,3,3.1,0.10000000000000009
