,round,team_rank,opponent_team_rank,team_pot,opp_concede_pot,prev_points,form_points,long_form,ict_form,total_points,Predicted,Prediction_Error
3004,22,8,11,1.4545454545454546,2.090909090909091,2.0,1.3333333333333333,1.6,3.8666666666666663,1,26489463.7,26489462.7
5931,1,4,15,1.0,1.0,0.0,0.0,0.0,0.0,2,-48714489.5,48714491.5
2602,20,11,13,1.0,2.2,-1.0,0.6666666666666666,1.4,1.9333333333333331,2,19336404.1,19336402.1
13902,35,18,5,0.8888888888888888,0.7222222222222222,1.0,1.3333333333333333,1.6,1.466666666666666,1,39542463.8,39542462.8
7057,25,15,18,0.4615384615384616,1.3571428571428572,2.0,2.0,2.0,3.0000000000000013,2,38726341.5,38726339.5
4953,7,5,8,1.25,0.75,2.0,2.0,1.8,9.7,2,-35798094.7,35798096.7
13573,10,19,12,1.0,2.2,2.0,1.3333333333333333,1.6,1.9333333333333331,1,39376500.1,39376499.1
6070,22,10,1,1.5454545454545454,0.7272727272727273,1.0,0.6666666666666666,1.2,2.0,0,-4924518.7,4924518.7
4694,26,15,20,1.0,1.3846153846153846,2.0,1.6666666666666667,1.6,3.0999999999999988,1,61646210.7,61646209.7
6742,31,11,20,1.625,1.5333333333333334,3.0,2.333333333333333,2.0,4.1,3,76878123.4,76878120.4
758,38,5,7,2.055555555555556,1.7894736842105263,1.0,1.0,1.6,2.0333333333333337,1,43183454.8,43183453.8
11283,15,10,16,1.875,1.25,3.0,2.0,2.0,3.0666666666666687,1,39341674.2,39341673.2
5084,25,7,16,1.1538461538461535,1.1538461538461535,2.0,1.3333333333333333,1.6,3.6666666666666674,1,20383244.7,20383243.7
1753,22,12,14,2.090909090909091,1.8181818181818181,1.0,3.6666666666666665,3.8,3.9000000000000012,7,62003785.7,62003778.7
4951,5,2,13,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,4.0,6.633333333333333,2,-35068592.0,35068594.0
4618,16,11,5,1.2222222222222223,1.625,1.0,2.6666666666666665,2.0,5.866666666666667,2,186560.2,186558.2
3019,3,15,1,1.5,2.5,3.0,2.333333333333333,0.0,1.9333333333333336,2,4598195.1,4598193.1
